序号,诉求,诉求时间,回复时间
11,您好！感谢您对生态环境工作的关注！经调查，我局黄岛分局未受理石灰窑段拓宽道路的环评审批申请。就反映的问题，我局黄岛分局已对接交通部门进行调查处理。督促其尽快完善相关手续。在审批之前，严禁进行对周边有影响的施工，审批之后，将严格按照环评文件要求对施工造成的环境污染进行控制，加强监管力度。他们没有施工？你们去现场看过了？,2020-04-01,2020-04-03
12,您好！感谢您对生态环境工作的关注！经调查，我局黄岛分局未受理石灰窑段拓宽道路的环评审批申请。就反映的问题，我局黄岛分局已对接交通部门进行调查处理。督促其尽快完善相关手续。在审批之前，严禁进行对周边有影响的施工，审批之后，将严格按照环评文件要求对施工造成的环境污染进行控制，加强监管力度。他们没有施工？你们去现场看过了？ ,2020-04-02,2020-04-03
13,您好！感谢您对生态环境工作的关注！经调查，我局黄岛分局未受理石灰窑段拓宽道路的环评审批申请。就反映的问题，我局黄岛分局已对接交通部门进行调查处理。督促其尽快完善相关手续。在审批之前，严禁进行对周边有影响的施工，审批之后，将严格按照环评文件要求对施工造成的环境污染进行控制，加强监管力度。他们没有施工？你们去现场看过了？ ,2020-04-03,2020-04-03
14,农民一根火柴就能把万亩秸秆变成万亩草木灰，均匀地洒在万亩农田里。一亩地草木灰，超过5斤肥料，有草木灰的庄稼。抗倒复能力强，特有的原生态米质，是任何肥料都替代不了的。在焚烧中，秸秆内的病株穗菌，连同大地草籽虫卵病毒，都在烟熏火烧中解决，大地化肥农药残留，经过火烧热烤得到清除。这样不花国家一分钱，增加了土壤肥力，还减少了农业投入，怎么能算污染？哪块焚烧不打粮？哪块焚烧烟雾不散？哪个农民在焚烧中受害？哪个医院有焚烧感染病人住院？从古至今可有焚烧感染病人案例？农民在自己经营的土地上劳动，是根据收割机的要求，进行焚烧。农业的旋耕机。五华犁，走垄机，打浆机，播种机，插秧机。哪样不是按焚烧后研究制造？农民的秸秆不烧这些机械就无法使用，农民不花国家一分钱焚烧叫污染。工业把农业秸秆打包离田，运输，也是焚烧，哪一程序都是国家拿钱，起名叫综合利用。无论怎么利用，它也是草的能量。费用成本都是花国家钱，综合利用的利润在哪里。工人和农民差距在这里拉大，农业和工业在这里不平等，因为污染企业的排放，一天没有停止。农民一年烧一次都不行。农业焚烧叫污染，工业离田焚烧叫综合利用。农业优势被综合利用取代，农业农民难点。如何破解，只有等待。现在有的地方又开始人居环境整治，这是个好事，农民举双手赞成，但是大量的秸秆和百姓用来做饭用的柴草都被清理到河道和沟渠里，因为不准焚烧，所以都淤积在河道中，夏天汛期来临阻碍排水，同时腐烂变臭导致水体恶化，变相污染地下水。这些只有农民自己知道，专家整天坐在办公室里肯定不知道，他知道焚烧冒烟，但是他没看见不焚烧烂水里是多么触目惊心，空气重要，难道水就不重要？环保局只考核空气质量，为啥不考核水体质量？排空气是污染，排水里就不污染了，有这个道理？非洲大草原每年都要自然燃烧几次，不但不污染而且还大量的处理了病虫害，动物粪便高温灭菌，第二年又是一片绿色，这就是自然。请遵循自然规律。 ,2020-03-24,2020-04-03
15,上马街道岙东路西润兴南一排违建门头厂房在背面大量偷排各类生产、生活垃圾，污染水体滋生病菌，如果上马街道实在不想管那就直接表明态度让纪委和媒体介入一下,2020-03-27,2020-04-03
序号,诉求,诉求时间,回复时间
16,"辐射安全许可证首次办理的流程,所需资料,",2020-04-01,2020-04-02
17,尊敬的刘建军书记：我是胶西镇行上店村的一名村民，反映我们村附近有人非法加工辣椒梗，严重污染环境的事件。非法加工点现场灰尘满天飞，空气中弥漫着一股刺鼻的味道，以前我们每天锻炼身体都从哪里经过，现在因为灰尘及空气中刺鼻的气味我们再也不敢去哪里散步了，请政府主持，还我们一个清洁干净的环境。习近平总书记曾经提出，建设生态文明是关系人民福祉、关乎民族未来的大计，是实现中国梦的重要内容。习近平总书记在纳扎尔巴耶夫大学回答学生问题时指出：“我们既要绿水青山，也要金山银山。宁要绿水青山，不要金山银山，而且绿水青山就是金山银山。”非法加工点位置：行上店公交站牌往北30米有一条往西的水泥路，沿水泥路往西800米左右路南，门口到处堆放着一袋袋未加工的辣椒梗。 ,2020-03-27,2020-04-02
18,现在是2020年3月26日上午9:29，米罗湾虹桥饭店早已机器轰鸣，半个屋子都是嗡嗡的，也不敢开窗户，因为窗外一股一股的味道，恶心的很。就这样一个违反《中华人民共和国大气污染防治法》的存在，李沧区政府执行了大半年，却一点成效也没有，每次回复相同的话。官腔打来打去，自己都不信了吧？对得起人民对贵政府的信任吗？李沧区米罗湾虹桥美食，据说是2017年9月获得营业资质。但是，《青岛市餐饮服务业环境污染防治监督管理办法》早于2016年就开始实施，而且米罗湾虹桥美食饭店所设立的位置，根据市政府回复所说已经严重违法了“2016年实施的《中华人民共和国大气污染防治法》之规定：“禁止在居民住宅楼、未配套设立专用烟道的商住综合楼以及商住综合楼内与居住层相邻的商业楼层内新建、改建、扩建产生油烟、异味、废气的餐饮服务项目”。”因为这个饭店就在居民楼内，紧挨居民住户！请青岛市政府依照《中华人民共和国大气污染防治法》依法取消虹桥饭店的运营资质。,2020-03-26,2020-04-02
19,现在是2020年3月26日下午16:29，米罗湾虹桥饭店机器轰鸣，半个屋子都是嗡嗡的，也不敢开窗户，因为窗外一股一股的味道，恶心的很。上午、中午、下午、晚上，这个让人恶心的饭店就这样每天污染者周围居民的生活环境，打扰着周围居民的生活。而李沧区政府执行了大半年了，什么效果也没有，每次都是相同的一句回复，这是一件很神奇的事情：李沧区政府自己也说了，《中华人民共和国大气污染防治法》适用于李沧区，那么按照《中华人民共和国大气污染防治法》依法行政有那么难吗？需要数年的时间来执行法律吗？根据2016年实施的《中华人民共和国大气污染防治法》之规定：“禁止在居民住宅楼、未配套设立专用烟道的商住综合楼以及商住综合楼内与居住层相邻的商业楼层内新建、改建、扩建产生油烟、异味、废气的餐饮服务项目”。”虹桥饭店就在居民楼内，紧挨居民住户！属于《中华人民共和国大气污染防治法》所“严禁”的范围。请依据《中华人民共和国大气污染防治法》之规定，依法吊销虹桥饭店的营业执照，取消其营业资质。,2020-03-26,2020-04-02
20,地铁夜间施工噪音大，影响周边居民夜间休息。,2020-03-23,2020-04-02
21,你好，位于李沧区瑞金路29号的青岛海纳重工集团也就是以前青岛阀门厂的旧址，院内厂房分割出租了，最近发现以前用于阀门铸造的车间从2019年开始又租给了铸造公司了，具体位置就是进大门一直走，走到头左拐直行到西头的右手边的一个厂房，就是外墙紧挨城阳区元启路。这个公司明显就是一个没有环评手续的公司，基本都是晚上开炉铸造，里面的航车成天运送铁块装卸的时候发出非常大的噪音，晚上开炉各种铸造材料燃烧发出浓浓的刺鼻的味道，这个公司毫无任何环保处理设备，由于这个公司近邻城阳区双埠小区，晚上开炉导致污染及噪音很厉害。之前青岛阀门厂搬迁就是因为污染的原因，搬走后青岛海纳重工集团又把厂房组个一个毫无资质的铸造公司，是谁给青岛海纳重工集团这个权利与胆量，无视青岛市李沧区的环保部门及安监部门。建议李沧区相关部门抓紧时间调查，处理。望早日取缔，不能让这种公司继续肆无忌惮的违法经营了。,2020-03-14,2020-04-01
22,李沧区文昌路东侧，遵义路北侧湾头位置建设大量板房及一个大型沙场   工程车辆昼夜施工，严重影响周边居民休息。,2020-03-17,2020-04-01
23,你好，我们27号入住青岛市市南区福州南路爱尊客商务酒店隔离，随行有一个四岁的孩子，已提交居家隔离申请，且完全符合居家隔离条件！核酸检测结果阴性没问题，27号至今没有解决问题！孩子在酒店非常不适应，饮食不习惯、晚上每隔一小时左右哭醒吵闹，且酒店隔离300多人，孩子休息不好、吃不好，怕免疫力低容易生病！望有关部门帮助我们解决问题！非常感谢！！！,2020-03-29,2020-04-01
24,胶州市郑州东路吉祥园门面房，一是济南烧烤店烟雾对吉祥小区1号楼居民造成严重污染（有图片为证），二是噪音太大，晚上更厉害，影响孩子学习，老人休息。三是距一号楼太近8米。损害该小区居民身体健康。强烈请求政府取缔该烧烤店，换居民安全居住环境。,2020-03-24,2020-04-01
25,周末在西海岸新区西环岛路上看到有一处山泉水取水点，看到很多私家车前来取水，不知道此处的水质是否能够达到饮用标准，西海岸新区相关部门能否进行取样检测一下？位置在过了三连岛往西，大约在附件中的位置。感谢,2020-03-30,2020-03-31
26,沧口的后海热电啥时候能真正的搬走?都喊了好几年了。北面的中石化炼油厂呢？冬天刮北风，大烟囱全刮到市区了。另外，污水全排到胶州湾了。胶州海东北角污染最厉害了，河道都是黑的。钢厂、碱厂、一汽都早己搬迁，为何迟迟不拆迁搞建设?地都放着浪费了,2020-03-22,2020-03-31
27,现在是2020年3月24日中午，米罗湾虹桥饭店正机器轰鸣，油烟外放，噪音扰民，油烟扰民，污染环境。请依照《中华人民共和国大气污染防治法》和《青岛市餐饮服务业环境污染防治监督管理办法》，依法吊销该饭店的营业执照，还市民一个安静、干净的生活环境。第几十次投诉了，就看贵政府如何执行？,2020-03-24,2020-03-31
28,   在青岛市城阳区锦安路与华东路交汇路口，有一小河，路口桥下有一排污管道，自从我来这边工作后，每天都经过小桥，可以看到桥下排污口一直在排放白的废水，未经处理，经采水检测。COD指标为165.5，氨氮6.38，属于超标排放，由于排污管道在路面一下埋着，周围企业较多，无法调查是哪个单位偷排的，请政府相关单位去实地调查，解决该问题，希望以后每天上班路过。不会看到白色污水流出，美丽的小河连鱼都没有。希望政府能重视，不然我就继续向其他部门举报,2020-03-16,2020-03-31
29,现在是2020年3月23日下午16:37，李沧区米罗湾虹桥饭店机器轰鸣，油烟外放。根据此前青岛市政府回复所说，该饭店的存在已经严重违法了“2016年实施的《中华人民共和国大气污染防治法》之规定：“禁止在居民住宅楼、未配套设立专用烟道的商住综合楼以及商住综合楼内与居住层相邻的商业楼层内新建、改建、扩建产生油烟、异味、废气的餐饮服务项目”。”在疫情形式这么严峻的情况下，虹桥饭店依然肆意排放厨余废弃，而且这个饭店紧挨着几十户住户，贵政府长期不作为，出了问题谁负责！？今天在此立贴为证。请不要再回复“采取措施减少油烟排放”的套话，虹桥饭店的存在是一种违法违规行为，贵政府执法部门到底管不管？！,2020-03-23,2020-03-31
30,地点：市南区延吉路与绍兴路路口东南侧。投诉描述：该处建筑工地从2019年年底开始用技术落后、噪音巨大的打桩机打桩，一直持续到现在，打桩时间为每天早7点半-中午12点，下午2点-下午6点。一是此处为密集居民区，工地南面紧邻国际城名苑，周围还有交运山庄、永嘉新居等小区，老人小孩居多，严重影响情绪和日常生活，特别是现在疫情期间，主要待在家里，生活受到很大影响。二是工地设置的噪音检测装置一直显示50分贝左右，到底是在糊弄老百姓还是欺骗政府。三是周围居民以前通过12345热线或110投诉过多次，但一直没有解决。建议：一是参照青岛地铁施工，在工地建造防噪防尘工棚。二是更新更换低噪音打桩机。三是缩短每天打桩时间，尽快结束打桩期。（请问打桩期何时结束？）,2020-03-17,2020-03-31
序号,诉求,诉求时间,回复时间
31,沧口老工业区，搬走了些企业，但污染仍较重，应该改善环境，多种树多搞绿化，尤其是在钢厂、碱厂、一汽等老厂区，娄山工业园，环湾路及海岸线、白泥地、中石化周边、四流中路及北路、遵义路等。目前这些地方太脏了，大货车又多。,2020-03-22,2020-03-31
32,现在是2020年3月23日上午10:26，家里需要通风，但却不敢打开客厅窗户，为什么，因为米罗湾虹桥饭店机器轰鸣，厨房油烟气味外排，特别的“香”！！！更恐怖的是，现在北京的航班被分流到了青岛，疫情尚未结束就又紧张了起来，而米罗湾虹桥饭店是对外开放的，谁知道每天会有什么人进店？！这家饭店的窗户紧挨着其它居民住户，而饭店进出人员鱼龙混杂，我们怎么敢开窗户。就是这样一个严重违反《中华人民共和国大气污染防治法》和《青岛市餐饮服务业环境污染防治监督管理办法》的饭店，却在米罗湾存在了数年，向李沧区政府投诉，每次都是同样的回复，不知道什么让依法治国变得这么难？！！！！！李沧区米罗湾虹桥美食，据说是2017年9月获得营业资质。但是，《青岛市餐饮服务业环境污染防治监督管理办法》早于2016年就开始实施，而且米罗湾虹桥美食饭店所设立的位置，根据市政府回复所说已经严重违反了“2016年实施的《中华人民共和国大气污染防治法》之规定：“禁止在居民住宅楼、未配套设立专用烟道的商住综合楼以及商住综合楼内与居住层相邻的商业楼层内新建、改建、扩建产生油烟、异味、废气的餐饮服务项目”。”因为这个饭店就在居民楼内，紧挨居民住户！这个商业房根本没有在建设时就没有烟道，根部就不是一个可以开设餐饮饭店的地方！！！！但为什么该饭店的营业执照会获批！？既然已经违法了，李沧区为什么不依法吊销虹桥饭店的营业执照？为什么这么难？,2020-03-23,2020-03-31
33,高新区银海学校北侧宝源路与华贯路段河流本是清澈见底，鱼儿欢游得河流。近几年不知哪些非法人员或者非法企业随意排放污水，河流水受到污染，河流中无一生物，夏天散发出臭臭的味道，严重影响了高新区得形象和周边居民得生活环境。请政府落实此事，污水河流治理。还河流原本面貌，还鱼儿一个家，还周边居民一个舒适的环境。谢谢,2020-03-06,2020-03-31
34,李沧区后海热电，太影响周围生活环境，原本要搬迁，问问现在什么时间搬迁，到哪一步了？,2020-03-23,2020-03-31
35,胶州市澳门路与汕头路交界口山海经南海店，临马路楼顶安装油烟机，不做隔音处理。运作时声音非常吵。反映多次，没有改观。要求临近马路处加装隔音板并对油烟机做降噪处理。,2020-03-23,2020-03-30
36,市长请联系 小黄狗回收公司和李沧区大崂路社区把李沧区大崂路1031号1028号附近的小黄狗回收机器里的废品清运完，方便居民投放。现在该设备已满。大崂路社区必须和小黄狗回收公司一起合作，才能完成这个事。看看市长能不能协调好这个事？,2020-03-23,2020-03-30
37,沧口烟墩山西侧有家水泥生产厂家，尘土飞扬，露天生产。为啥离市区这么近还不关停？为啥还露天生产？这家工厂有什么过硬关系？北侧钢厂、碱厂都早已关停了。望抓紧关停，毕竟周边好多居民小区,2020-03-22,2020-03-30
38,保护环境人人有责，国家提倡实名举报，我代表胶州市胶北办事处全体村民投诉，胶州市胶北办事处工业园北，北都路路西边水够里的污水常年臭气熏天，希望严查此事。,2020-03-18,2020-03-30
39,市长您好，我是山东省青岛市平度市新河镇大苗家村村民，在本村西就是新河化工产业基地（新河化工厂），自化工厂建厂以来，本村空气质量每况愈下，近几年本村空气中，都有一股农药味、化工味，尤其是晚上，都不敢出门。既然政府把化工厂建在此地，极大拉动本村经济，希望把本村搬迁问题提上日程。,2020-03-20,2020-03-30
40,从去年开始，龙湖舜山府施工多次违规炸山、造成大量浮尘没及时处理，洒水车就个摆设，多次违规彻夜施工，严重影响旁边书香嘉苑居民的休息，希望有关部门处理一下,2020-03-19,2020-03-30
41,网上预约的口罩不敢带啊！打开包装袋有浓浓的塑料味，如果带上口罩能把人熏死!且颜色不正，希望有关部门严查!！！,2020-03-27,2020-03-28
42,胶东的已经要开始了 胶莱的啥时候啊 ,2020-03-26,2020-03-27
43,沧口沔阳路以北，安顺路以西地块什么时候上市？做什么用途？荒芜很久了，在铁道旁，太大熬风景了！望抓紧开发,2020-03-22,2020-03-27
44,我们注意到，最近李沧区甘泉路福林苑小区对面的修车厂等已经进行了拆除，想问下这篇土地接下来的用途，谢谢,2020-03-24,2020-03-27
45,国务院要求将小区配套幼儿园全部改建为公立或者普惠性质幼儿园，请问黄岛区这这方面工作有什么进展？有很多小区配套幼儿园都被开发商卖了，开成了高档幼儿园，普通市民望尘莫及，诸如银杏苑的千禧国际幼儿园，江山丽城的北师大幼儿园，政府什么时候能回收？,2020-03-25,2020-03-27
序号,诉求,诉求时间,回复时间
46,看看卓越蔚蓝群岛四期南门的湖里的水，最终排入海里；这就是我们大青岛入海口的保护多年的成果，保护环境真的不是喊口号，能有点作为吗？居民天天反应，什么时间能给落实到实处。,2020-03-21,2020-03-27
47,请问青岛什么时候能跟天津互认健康码,2020-03-26,2020-03-27
48,我想问一下。国家对地库环境的空气质量要求有没有规定？现在我们小区的地库尘土飞扬，车刚停下就有一层飞尘出现。希望有关部门给予答复。,2020-03-25,2020-03-26
49,青岛广播电视台发射台具体位置搬迁到哪里,2020-03-22,2020-03-26
50,"公司办公和生产地址由注册地胶莱镇陆家村迁至李旺屯村附近,请问现在可以在政务网上行政审批服务局办理地址变更吗,",2020-03-25,2020-03-26
51,"市北区的个体户营业执照怎么变更到城阳,或者迁址,一照两址,",2020-03-24,2020-03-26
52,现在是凌晨00:10分，道路大型卡车来往穿梭，持续数日，如此施工下去我们要一直熬夜配合到什么时候？？？请问哪个部门负责管理？？？,2020-03-17,2020-03-26
53,之前抢购的口罩只有一个耳朵，没法带,2020-03-23,2020-03-26
54,位于胶州市上海路以北常州路以东区域目前正在开发，目前正在进行土石方及土地平整工作，在此期间经常无任何抑尘措施，有时会有一台微型抑尘车开启，效果微乎其微，导致尘土飞扬，导致附近居民家中很多灰尘，主要是灰尘吸入肺部影响健康！并且经常早上五点就开始施工，晚上也经常通宵挖土及运输，挖土声，机械轰鸣声，卡车鸣笛声，实在是太吵了！！严重影响休息！！工地上大功率的探照灯彻夜不关，家里宛如白昼！试想这样的环境怎么能不影响睡眠？还希望尽快敦促开发商改进！谢谢！,2020-03-24,2020-03-25
55,崂山区滁州路与劲松七路交叉口工地，每到夜晚11点休息，施工声音特别吵，特别严重影响周边小区居民休息。且多次拨打省、市12345热线举报，工地一般会暂停1天后仍然继续施工，最近声音越来越大，三台挖掘机，沙土车不断。因为这个，真的开始怀疑政府全心全意办事的决心了，到今天为止这个事情持续了2个多月了，请政府帮忙彻底解决，谢谢。,2020-03-10,2020-03-25
56,峨眉山路光谷软件园工地不分昼夜施工！噪音已经严重影响到我个人的生命健康！自付工以来，已经有两次导致我一宿没睡，心慌气短！失眠严重！气管因气短疼的喘不上气！第二天无精神上班！第一次打12345，当晚没有来解决。不过第二天第三天工地没有施工。昨晚又是一个不眠夜！不止大车嗡嗡的声音吵的头疼，还有挖掘机叮咣的声音！我往楼下看了一下！八九个大车，两个挖土机一起在干！根本没有停下来的意思！本来想着忍忍，关着窗户，可是效果并不好！直到凌晨四点多，实在忍受不住，无奈又一次拨打了12345，那边告诉我要给专门处理的部门打电话去处理一下！我还是实名举报的！结果半个小时过去了，施工扔在继续！又一次拨打12345！那边只告诉我要催一下！我不明白的是，到底是12345说话不管用？还是有关部门不办人事？！已经危及到生命了！还不管吗？！后来无奈，我自己又打了城市管理局的电话！那边听说以后，说是要让同事过去处理一下，结果过了一会儿给我回电话，说是光谷软件园的工地不归他们管，让我打12345。我真不知道现在谁能来处理了！再这么下去！我真的会崩溃！噪音施工导致无法入睡真的很痛苦！我打12345是实名举报！结果到现在也没有人给我回复！,2020-03-21,2020-03-25
57,峨眉山路光谷软件园工地不分昼夜施工！噪音已经严重影响到我个人的生命健康！自付工以来，已经有两次导致我一宿没睡，心慌气短！失眠严重！气管因气短疼的喘不上气！第二天无精神上班！第一次打12345，当晚没有来解决。不过第二天第三天工地没有施工。昨晚又是一个不眠夜！不止大车嗡嗡的声音吵的头疼，还有挖掘机叮咣的声音！我往楼下看了一下！八九个大车，两个挖土机一起在干！根本没有停下来的意思！本来想着忍忍，关着窗户，可是效果并不好！直到凌晨四点多，实在忍受不住，无奈又一次拨打了12345，那边告诉我要给专门处理的部门打电话去处理一下！我还是实名举报的！结果半个小时过去了，施工扔在继续！又一次拨打12345！那边只告诉我要催一下！我不明白的是，到底是12345说话不管用？还是有关部门不办人事？！已经危及到生命了！还不管吗？！后来无奈，我自己又打了城市管理局的电话！那边听说以后，说是要让同事过去处理一下，结果过了一会儿给我回电话，说是光谷软件园的工地不归他们管，让我打12345。我真不知道现在谁能来处理了！再这么下去！我真的会崩溃！噪音施工导致无法入睡真的很痛苦！我打12345是实名举报！结果到现在也没有人给我回复！,2020-03-21,2020-03-25
58,位于即墨区长广路（海信盟旺世家西侧）一处工地夜间施工，严重扰民。接连投诉12345好多天，迟迟没有人员给予处理。打电话投诉就是敷衍了事，难道这投诉电话就是一摆设吗？要这样的摆设有何用,2020-03-18,2020-03-25
59,水青花都小区高速噪音巨大，严重影响睡眠，建议安装隔音屏障。,2020-03-16,2020-03-25
60,问题请派单市级处理。青岛石化临近市区，石油管道途径多个居民小区，一旦发生危险后果不堪想象。前湾港管道爆炸，天津港爆炸后果历历在目，青岛已经面临石化围城的地步。青岛石化搬迁刻不容缓！能不能给点力，国企要多少赔偿款就给多少钱好了，抓紧搬到董家口。别拿着市区人口的生命开涮！民生工程！！！！搬走全市人民感谢你！！！,2020-03-16,2020-03-24
序号,诉求,诉求时间,回复时间
61,米罗湾虹桥饭店机器轰鸣，油烟外放，楼上紧挨着就是几十户住户，你们到底还能不能管理了？严重违反《中华人民共和国大气污染防治法》和《青岛市餐饮服务业环境污染防治监督管理办法》的饭店，竟然在米罗湾存在了数年。已经投诉了几十次，而贵政府给出的回复，每次都是“目前区综合行政执法局正在按照相关法律法规进行推进。”请问贵政府口中所谓法律法规是哪些法律法规？你们是怎么执行这些法律法规的？到底是法治还是人治？,2020-03-15,2020-03-24
