序号,诉求,诉求时间,回复时间
11,您好，关于2020年教师招聘考试，可不可以限制户籍?减少人员流动，增加我们青岛本地的就业机会呢?,2020-03-28,2020-04-02
12,请问非全日制研究生毕业，拥有毕业证学位证。在青岛工作，有青岛社保，能否领取安家费和住房补贴？,2020-03-31,2020-04-02
13,针对事业单位夫妻异地调动问题，看到市人社局答复按我市现行事业单位调配政策，对于解决夫妻两地分居的人员调动，是允许按程序和管理权限进行调动的。请问有没有具体执行文件和标准？,2020-03-29,2020-04-02
14,"请问青岛的事业单位统考什么时候进行呀,4月份能考试吗,",2020-04-01,2020-04-02
15,"备案中所用到的质量管理人员,是否必须为医疗相关专业毕业,",2020-04-01,2020-04-02
序号,诉求,诉求时间,回复时间
16,事业单位连续三年优秀等次，授三等功，应该补上近几年的，比如2016-2018三年优秀等次的，或者更之前的，不应该仅从今年开始，有失公允。,2020-04-01,2020-04-02
17,青岛人社局，《关于2019年度全国勘察设计注册工程师执业资格考试工作有关问题的通知》附件3中，考试名称、级别、专业及科目代码表中，011为注册电气工程师（发输变电）；012．注册电气工程师（供配电），这两项为不同类型的考试，适用行业也不一样。但技能提升申请系统中，只有一项注册电气工程师，系统中去年申报过供配电的补贴，今年通过发输变电考试后，无法再申报发输变电的补贴。请问如何进行申报？,2020-03-27,2020-04-02
18,青岛人社局，《关于2019年度全国勘察设计注册工程师执业资格考试工作有关问题的通知》附件3中，考试名称、级别、专业及科目代码表中，011为注册电气工程师（发输变电）；012．注册电气工程师（供配电），这两项为不同类型的考试，适用行业也不一样。但技能提升申请系统中，只有一项注册电气工程师，系统中去年申报过供配电的补贴，今年通过发输变电考试后，无法再申报发输变电的补贴。请问如何进行申报？,2020-03-27,2020-04-02
19,很抱歉，我已经咨询过很多次了，但是一直没有得到处理，还是想咨询一下关于教师招聘的问题今天看到消息说青岛市把今年的教师招聘考试下放到各个地市的教育局了？也就是说今年莱西这边会自己组织教师招聘考试吗？不是全青岛统一的？,2020-03-28,2020-04-02
20,2019年西海岸新区、城阳区都下发文件对取得高级技师职称、副高级、高级职称的人员给予一定的补贴，最高奖励1万元。高新区是否由类似的政策。,2020-03-20,2020-04-01
21,"问题1,以前没有申请助理工程师,现在可以直接申请中级工程师吗,问题2,持有壹级建造师和壹级消防工程师申请中级职称有便利条件吗,问题3,申请职称是任何时间都可以吗",2020-03-31,2020-04-01
22,青岛还陆陆续续增加，为了孩子们的健康还是希望疫情结束再开学不要拿孩子们的健康冒险，在家带着该学一样学，别看着别的地方开学就开学我们还在增加，建议首都什么时候开学我们开学，真的不要把学习看做比上千万医护人员拼搏更珍贵！,2020-03-25,2020-04-01
23,尊敬的领导:本人李钊，身份证号码370285198112222930山东省莱西市人，2013年5月24日转业回地方，服役13年转业士官！转业回莱西市后考试第7名地方政府事业编制5人按照排名进行安置，国企（电力公司1名，铁路系统5名）按照拼爹进行安置，世袭制安置，就是他爹妈在这个单位他就去这个单位。亲爱的领导，中华人民共和国依法治国，为什么军转安置就是祖传的了！详细资料在本人手里！联系电话13665428616,2020-03-23,2020-04-01
24,政府能不能有点担当，四月了还不开学？学深圳学的被郑州超越？公务员们好意思的白拿工资在家里耍？,2020-03-21,2020-03-31
25,政府能不能有点担当，四月了还不开学？学深圳学的被郑州超越？公务员们好意思的白拿工资在家里耍？,2020-03-21,2020-03-31
26,政府能不能有点担当，四月了还不开学？学深圳学的被郑州超越？公务员们好意思的白拿工资在家里耍？,2020-03-21,2020-03-31
27,政府能不能有点担当，四月了还不开学？学深圳学的被郑州超越？公务员们好意思的白拿工资在家里耍？,2020-03-21,2020-03-31
28,政府能不能有点担当，四月了还不开学？学深圳学的被郑州超越？公务员们好意思的白拿工资在家里耍？,2020-03-21,2020-03-31
29,政府能不能有点担当，四月了还不开学？学深圳学的被郑州超越？公务员们好意思的白拿工资在家里耍？,2020-03-21,2020-03-31
30,政府能不能有点担当，四月了还不开学？学深圳学的被郑州超越？公务员们好意思的白拿工资在家里耍？,2020-03-21,2020-03-31
序号,诉求,诉求时间,回复时间
31,政府能不能有点担当，四月了还不开学？学深圳学的被郑州超越？公务员们好意思的白拿工资在家里耍？,2020-03-21,2020-03-31
32,我在部队考取了高级职业技能证书，转业到地方后，只能算初级，,2020-03-31,2020-03-31
33,我是一名转业到事业单位的士官，在部队服役16年，在部队很早就已经已经取得了财务，驾驶和厨师的高级职业技能，到单位后定的还是初级工，导致自己的工资比同时转业到单位的一名军龄六年的干部还少一百多元，问单位何时能搞职业技能鉴定，如何鉴定？如果在部队取得的专业技能工作的单位无相关专业怎么办？,2020-03-31,2020-03-31
34,您好！事业单位薪级工资问题：12年7月本科毕业，12年8月考入我市甲区事业单位，工作至2015年8月。2015年9月考入我市乙区事业单位。请问：我今年薪级是几级？如何计算？请提供参考文件。咨询电话是多少？,2020-03-31,2020-03-31
35,2018年在部队考过的职业技能鉴定，2019年转业到城阳区事业单位，请问在部队考的这个职业技能鉴定地方承认吗？不承认依据什么？,2020-03-31,2020-03-31
36,网约车考试单位复工时间,2020-03-31,2020-03-31
37,领导：您好   我是2018年12月转业的士官，2019年安置本市事业编岗位。在部队考取的高级职业技能鉴定证书。为何青岛人社局不认。根据2017年国家和军队多部门联合部署推行新修订的《中国人民解放军现役士兵职业技能鉴定规定》。通过鉴定的士兵获得“国字号”证书，代表着国家和军队对士兵岗位任职能力的认定，获得者不仅服役期间享受优厚政策，退役后也可作为就业的重要依据，且在全国范围内通用。,2020-03-31,2020-03-31
38,2018年12月部队转业士官，2019年12月青岛市安置事业编工作。请问领导我们部队考的高级驾驶员职业技能证书，为何安置后青岛人社局不认可？我还在从事驾驶岗位。,2020-03-31,2020-03-31
39,为什么青岛市转业士官高级证书认定不一样呢？莱西的认定，崂山区为什么不认。,2020-03-31,2020-03-31
40,18年底转业士官，现在事业编学校上班，工勤岗，有青岛市职业资格证书高级电工，应该定几级？,2020-03-31,2020-03-31
41,我想问一下青岛市所有区市的教师编制考试大纲都是统一的嘛？还是每个市的教师编制考试大纲是不一样的。如果是统一的话我需要去哪里查询这个教师编制考试大纲。如果不是统一的我是不是就需要去当地区市的教育局网站查询。,2020-03-30,2020-03-31
42,您好！我2018年在部队通过现役士兵职业技能鉴定，进行潜水员专业技师的考核和认定并且考核合格。本人于2019年12月转业到城阳区事业单位，请问我在部队考的这个技师地方认可吗？不认可有什么依据？谢谢！,2020-03-31,2020-03-31
43,您好！青岛作为北方明珠的海滨城市，本人一直看好青岛的发展潜力，所以2015年决定由辽宁省某211大学本科毕业来青发展，当时未太多关注青岛市高校毕业生来青就业方面优惠政策。近些年周边许多新晋高校毕业生都享受到了青岛人才优惠政策（比如住房补贴、一次性安家费等），请问我现在补交申请是否还来得及享受优惠政策？谢谢！,2020-03-28,2020-03-31
44,新录用人员培训有时间限制吗？培训完就可以领补贴吗？,2020-03-31,2020-03-31
45,"建筑行业特殊作业人员报名,培训,考试在哪里进行,",2020-03-27,2020-03-31
序号,诉求,诉求时间,回复时间
46,区领导：我是一名今年评高级的教师，前几天发现单位公示了青岛市的评选结果，没有本人咨询学校无果，本以为因为疫情原因学校还没有组织上报，哪知在没有公示的情况下已经上报评审完了。这样的情况算违规吗？上报人员按规定是否应该校内先公示，为何总有瞒天过海的行为发生，这样的乱象何时能根除，我可以申请补报吗？,2020-03-19,2020-03-31
47,计划返鲁人员信息填报中文版国籍无法输入和选择，导致无法提交该怎么办？,2020-03-28,2020-03-30
48,"您好,我想咨询一下,2020年上半年的普通话报名和考试是什么时候,还会有公告吗,今年还是会有两次吗,另外我们黄岛区依然不设立考点吗,",2020-03-28,2020-03-30
49,您好，关于2020年教师招聘考试，可不可以限制户籍?减少人员流动，增加我们青岛本地的就业机会呢?,2020-03-28,2020-03-30
50,"你好，研究生的一次性安家费申领通知自2019年4月1日起施行，有效期至2021年3月31日，其中要求毕业后缴纳一年社保才可以享受。请问今年的应届毕业生要到2021年6月才缴够一年社保,能否享受一次性安家费呢？",2020-03-26,2020-03-27
51,"请问专升本毕业生档案如何交至本人档案存放处,",2020-03-26,2020-03-27
52,您好，来信咨询2019年通过法律资格职业考试，法律资格证书什么时间能够发放，目前急需要用到，谢谢。,2020-03-27,2020-03-27
53,"请问,我的中级经济师证书丢失,怎么办理,",2020-03-26,2020-03-27
54,一场疫情，毫不客气地给国人们沉痛一击，广大医护人员投身一线积极防疫，上级各种利好政策倾向于医护人员，无可厚非，这是应该的！除了医护人员，还有广大的镇街基层工作者一直战斗在抗疫的一线，他们不分白天黑夜，无不坚守在居民小区出入口严格看守，特别是各级卡口陆续撤销后，街道办事处的基层干部一直奋战在城中人口相对聚集的小区的最后一道、也是非常关键的一道防线上，说实话也是很辛苦的，虽然没能像医护人员那样救死扶伤，但没白没黑地坚守在一线“看守”着大门直到现在，也为抗击疫情做出了一定的贡献。各种奖励倾向于医护人员，我们十分赞成。有些市直部门有着得天独厚的优越条件而有充分的岗位，而镇街基层事业编制受到很大限制，这些是不是与上级充分调动镇街积极性提高基层待遇的文件要求不匹配，因此强烈建议提高基层特别是基层镇街事业人员的中高级职称比例，让现有资格证而未得到聘任的中高级人员得到充分聘任（因为公务员执行职级并行，而事业人员只能靠职称提高待遇了），进而提高工作人员的积极性，这也是落实上级提高基层待遇的举措吧。强烈建议！！！！！ ,2020-03-24,2020-03-27
55,"1新办市政资质需要的人员及数量,2技术负责人业绩需要提交的资料,",2020-03-25,2020-03-27
56,您好，今天在网上看见有人说今年教师招聘考试由各县区自行组织，请问是真的吗？如果不是，招聘简章大约什么时候发布？盼回复，谢谢！,2020-03-26,2020-03-27
57,您好，今天在网上看见有人说今年教师招聘考试由各县区自行组织，请问是真的吗？如果不是，招聘简章大约什么时候发布？盼回复，谢谢！,2020-03-26,2020-03-27
58,你好，请问今年教师类考试是有编制的还是聘任制？会扩大招录规模吗？对于非师范生来说，想知道专业限制大不大？,2020-03-26,2020-03-26
59,今年护理类事业编会扩招吗？,2020-03-26,2020-03-26
60,您好领导！请问今年的事业单位考题范围和题型，是否与往年相同。谢谢,2020-03-26,2020-03-26
序号,诉求,诉求时间,回复时间
61,领导您好，前不久看到新闻说，今明两年事业单位主招应届毕业生，我们这些往届的还有机会参加吗？,2020-03-26,2020-03-26
62,市长您好，国家近年来出台了一系列政策要求全国各省市全面启动住院医师规范化培训工作，政策规定医学专业本科毕业后都要在培训基地接受以提高临床实践能力为主的系统性、规范化培训。青岛也已落实住培政策多年。遵照规定，我在本科毕业后参加了住院医师规范化培训，现在即将结束，近期在找工作过程中发现咱青岛很多医院招聘条件都是硕士起步，其实大医院硕士学历起步是理所应当的，我想低一级的医院或者社区医院应该是适合本科毕业参加住培医学生的选择，或许这也是国家没有设置门槛必须研究生才能参加住培的原因，想要给提高基层医生的医疗水平。可是青岛目前没有给这类人群提供就业机会，青岛卫生健康系统2020年招才引智双选会的参会医院都是三级以上单位，基本条件都是硕士起步，低一级的医院都没有发布招聘。疫情解封在即，各种招聘工作即将开启，希望卫生系统接下来的招聘中考虑一下这部分人的就业可能。谢谢。,2020-03-26,2020-03-26
63,赵局长 你好，我想请问一下今年事业编会不会线上面试？是结构化面试嘛?面试官是如何找的？如何保证面试绝对公正公平？,2020-03-26,2020-03-26
64,我现在是事业单位的高级经济师（副高），因为事业单位众所周知的原因，职务的通道没有上升的可能。请问我可以考取正高职称吗？,2020-03-26,2020-03-26
65,政府能不能有点担当，四月了还不开学？学深圳学的被郑州超越？公务员们好意思的白拿工资在家里耍？,2020-03-21,2020-03-26
66,青岛市教师招聘简章什么时候出？,2020-03-26,2020-03-26
67,您好，请问2020年青岛事业单位教育类的考试大约在什么时间，考试的范围如何？谢谢~,2020-03-26,2020-03-26
68,中级经济师证书丢失可以补办吗？需要什么材料？,2020-03-26,2020-03-26
69,听说现在政府有惠企举措，企业可以向律师事务所了解咨询政策，请问企业可以向哪些律所进行咨询,2020-03-26,2020-03-26
70,您好，非常害怕错过教师招聘考试报名，对于想报名的人，能不能事先留下电话号码，通过短信等方式给予提醒。谢谢！,2020-03-26,2020-03-26
71,今年的司法考试会如期举行吗？,2020-03-26,2020-03-26
72,我想报名参加今年的法律职业资格考试，想问一下考试报名对于专业学历有什么要求？,2020-03-26,2020-03-26
73,请问领导，今年青岛市属事业编考试时间和省属考试时间一致吗？,2020-03-26,2020-03-26
74,请问今年教师招聘还有笔试吗？大概什么时候？,2020-03-26,2020-03-26
75,您好，请问：1、今年事业编是否有二次招聘计划？2、今年教师编青岛市自己出题，请问笔试范围还是公基和教基吗？有没有学科内容？,2020-03-26,2020-03-26
