序号,诉求,诉求时间,回复时间
26,本人邓伟裕因生活需要，于2019年9月23日在“青岛雪花家族餐饮管理有限公司”开设的天猫店铺“三只海豚旗舰店”处花费4893元购买了7盒干海参。本人收到涉案产品后发现涉案产品存在无生产日期、无生产许可违法生产、无执行标准、无贮存条件、无营养成分表等诸多严重的食品安全问题，对此本人于2019年10月初向青岛市市场监督管理局、胶州市市场监督管理局多次邮寄了实名举报信，对涉案企业的违法行为进行依法实名举报，维护本人的合法权益和人民群众的食品安全。至今差不多半年过去了，胶州市市场监督管理局一直没有给本人回复，本人打12345市场热线进行投诉，得到的回复是胶州市市场监督管理局已经给本人回复。胶州市市场监督管理局从来没有给过本人任何回复！他们如此漠视法律法规、如此不作为、如此包庇，请市委、纪委严查！具违法企业的负责人透露，违法企业给胶州市市场监督管理局贿赂了两千元，所以他们才如此明目张胆的包庇违法企业！根据国家相关法律法规的规定，人民群众实名制举报违法行为，市场监督管理局必须依法立案调查并给举报人出具书面的调查结果。本人恳请尊敬的市委、纪委严查此事，维护人民群众的合法权益！,2020-03-25,2020-04-02
27,同一天预约收到的8单口罩，快递费交了8份，不合适吧？,2020-04-01,2020-04-02
28,农村大集什么时候让赶集，我们都饿死了。,2020-04-01,2020-04-02
29,今天接到电话说现在维客超市好多人在抢购面，米，油，没有打折促销，都是原价，而且买者也不在乎多少钱就是拿。前几天也听说有买大米几十袋几十袋的往家采购。我想知道是要出现什么大事件吗？感觉有点恐怖！,2020-04-01,2020-04-02
30,青岛政务网口罩预约，第一次收到的黑盾品牌，正规包装，医用隔离口罩，生产编号备案等很齐全；第二次预约收到的口罩就用塑料袋装，无密封封口，也没有任何品牌和生产编号标识，这是因为疫情不严重，开始欺骗消费者了吗？不相信是政府行为，怕是个别人员的个别谋利行为！,2020-03-23,2020-04-02
序号,诉求,诉求时间,回复时间
31,个人去大哨头批发市场买菜，进入市场需要交10元停车费，把车放在外面，不让送菜的出门！我想问一下尊敬的领导这是不是强制收费？静等回复,2020-04-01,2020-04-02
32,根据我们公司群里发布的广告下午去薛家岛青云山路天能电池爱玛电动车店挂电动车牌子，好不容易找到了，确忽然告知现在改了，只挂华承，富士达，五星钻豹，雅艺，爱玛，绿缘，踏浪这几个牌子的电动车，这是什么情况？我的捷安特电动车也是大证的，为什么发布广告任何业务都可以办理，这不是坑人吗让我白跑一趟，？  请问车管所任何牌子的大证电动车，任何业务让大家怎么理解？麻烦你们规范化管理，规范化发布广告和通告信息！,2020-03-24,2020-04-02
33,"现在人不在青岛,公司监事人员变更,怎么操作,",2020-03-31,2020-04-01
34,企业营业执照已到期  如何变更展期 具体步骤流程怎么办,2020-03-31,2020-04-01
35,"打算在市北区开一家餐饮企业,请问办完营业执照后如何刻制公章,需要准备什么材料,需要办事人员去哪里办理,一定要去现场么,刻公章是否收费,是否支持公章邮寄服务,",2020-03-31,2020-04-01
36,在京东店铺青岛智力岛电子商务有限公司开设的志高厨卫大电旗舰店，店铺商品链接：https://item.jd.com/63253836253.html 购买的产品，收到就有质量问题，壳子破了个洞，申请退货商家不予处理。现在申请投诉。,2020-03-24,2020-04-01
37,不知道东风路农行家属楼做什么工程，但这些东西这么堆在市联社家属楼门口和过道有些过分啦，严重影响居民进出。希望有关部门督促尽快清理,2020-03-26,2020-04-01
38,进入批发市场统一扫码通过，为什么还要再查身份证，没有身份证不让我进。我看他查别人都不问身份证，我的二维码没有问题。其他的市场出入都可以,2020-03-29,2020-04-01
39,被青岛淘云集app 骗了在百度上可以搜到这个电子商务有限公司，但是打电话给工商局说没办法，在青岛12315平台投诉说不受理，希望得到帮助，真心谢谢,2020-03-19,2020-04-01
40,请问现在可以在马路上设置移动餐车吗？有快餐车加盟店加盟后可以设置吗？如果可以设置快餐车需要办理什么证件呢 ，谢谢,2020-03-31,2020-03-31
41,投诉问题：2019年11月于金吉鸟健身 青岛东信大港店办理健身卡一张（3年卡），11月12月健身两个月；2020年1月6日健身房以内部水电查修为由关门，宣称几日后重新开门，会员可去其他门店健身；但实际情况为健身房所在楼宇物业合同纠纷，导致整个楼宇无法营业，开门时间未知，办卡时健身房工作人员没有提醒；店内工作人员态度差，不回复顾客的诉求。诉求：因工作人员没有提前告知存在纠纷导致无法开业，退还已健身时间（2个月）以外的其余费用希望市里相关部门对于健身房问题严加管理！！,2020-03-24,2020-03-31
42,2019年11月20日。在58同城遇到青岛中融金泰经济信息咨询有限公司可进行贷款，经加微信询问后，该公司负责王经理说不收取任何前期费用，给我了我一份包装资料，只要按资料说接好回访电话就可以。两天后接到010开头自称是大树贷款公司审核人员进行审核，审核两天后该贷款公司发来短信说审核通过，批款479000元，请与青岛中融金泰经济信息咨询有限公司联系进行签署下款协议。必须三天内签署，批款成功后再三询问该公司负责人，是不是没有任何费用，负责人很明确回答说没有，第二天就到该公司进行签署协议时候，就要收取5000元查征信费用，必须要缴纳签合同才能给下款，并且在签署协议时候，不明合同也很多，如因口误该5000款不退还。但是公司负责人说该条款都不会发生，全程签署协议过程，我都有录音，并且我也让该公司给我写了如果不下款5000元退回字据并盖章了。并且公司负责人说三天内一定下款。        回家等了三天，依然没有下款，我就不断再联系公司负责人，他说还要继续回访紧急联系人电话，并且说只是确认关系，是否认识贷款人，那就开始回访，回访人员上来就问，我的工作贷款情况，并且家里情况等等很详细，我的紧急联系人确实不知道贷款和一些家里情况，但是联系都可以确认关系认识我，毕竟是紧急联系人不是担保人。就这样负责人说我被机构给拒绝了。说这个事情他找关系跟机构协商，几天后机构给出回答是，要收批款额度的百分之3做为保证金，说我是风险客户，如果三个月后没有逾期，该款项退回。并且联系电话必须还要打，两天后我给了该公司法人银行账户打了三个点的保证金1万5千元。该公司负责人说会写收据快递给我，他只写了拍照片给我，并且没有公章，没有快递给我。两天后又打来审核电话，说是继续审核紧急联系人，所有朋友都安排好在等电话，唯独打给了我母亲，因母亲耳朵听不清楚声音，我怕再出现问题，我负责代接电话，审核人员审核的问题都是相当全面，并且问的一定是我母亲不知道的事。第二天已理由接电话不成功拒绝放款。        拒绝放款后，我就联系青岛中融金泰经济信息咨询有限公司负责人退款的事情。共计2万元。该负责人一直说在处理，找各种理由推脱，后来就微信不回电话不接。         疫情当下没办法到青岛本地报警处理，异地案件不受理，请青岛市长给予帮助处理解决。,2020-03-30,2020-03-31
43,领导您好：名称：漫悦美全国连锁【青岛漫悦美绘本馆店】地址：青岛永旺合肥路购物广场三楼  电话：0532-66002130事件：2020.3.31此店退租，强制会员余额购书且原价销售。态度恶臭，对会员毫无歉意，强制买书，扰乱市场秩序，败坏青岛商业名声。欺软怕硬，遇硬退款，遇软则欺，败坏社会风气。毫无文化，从领导到员工，没有一点公司文化的展现，对待会员毫无修养，腐蚀社会文化。几百个会员都是给孩子办绘本的宝爸宝妈，社会影响非常恶劣。2020.3.31此店退租，请咱们青岛的领导为了小宝宝，严查这家没有良心的坏了人心的公司。请把会员会费退回。（已购书的属于强制原价购书，请予补偿）相信青岛的领导不会让这样的臭鱼熏着美丽的青岛。几百个会员谢谢领导！！！！！！,2020-03-30,2020-03-31
44,请问：胶州华润城网点具体什么时候拆迁？,2020-03-30,2020-03-31
45,尊敬的领导，你们好！我是来自青岛市西海岸年华巷的经营者，地址位于中国石油大学北门的一条街，前几年由公司统一管理安放集装箱作为摊位出租，起名年华巷！我们这些摊位每年缴纳摊位费和卫生费，另外缴纳保证金3000元押金6000元，按照要求管理者要求办理营业执照，每年更换健康证！消防卫生等部门也来检查，也都放置了灭火器！年华巷经营水果，小吃，饮料，百货等项目。前几日突然接到管理员电话通知，我们赖以生存的经济来源给掐断了，这条街全部拆除，很不理解，公司统一管理合理合法为什么要拆除，咨询公司也没有电话没人接，多次询问回复天灾人祸，这条街不合法，随后再也联系不到了！请求政府帮助，我们是一些四五十岁左右的低收入者，上有老下有小的，公司说这条街不合法还收取了多年的管理费卫生费，说不通呀，房租合同还没到到期余下的房租也不退，押金也不退，什么说法都没有！请求政府帮助，因为疫情我们也都没有营业，也按时根据公司的要求填报个人信息等等！请求政府帮助！,2020-03-27,2020-03-31
序号,诉求,诉求时间,回复时间
46,强烈反对取消线上预约，因为药店高价售卖口罩等民生物资，比如说我家附近这家春天大药房，普通一次性口罩三十块钱五个，还不如网上预约！,2020-03-29,2020-03-31
47,您好，我想咨询一下二类医疗器械经营备案的具体流程，需要提交什么资料。谢谢！,2020-03-30,2020-03-31
48,尊敬市委领导，3.12日我在即墨服装批发市场2楼c区4街127号商铺王鲁女装购买两件衣服，3.14日快递收到货物后发现其中一件女连衣裙无商标、纺织物条形码和产地货号等吊牌；另一件风衣仅有标示“尚品·娜”字样的吊牌，再无其他可证明衣服产地和是否具有合法商品零售的凭证，与商家协商退货无果。3.15日通过12315投诉，即墨市场监管部门88562887联系我过程中，存在推诿扯皮，态度恶劣，工作渎职的问题导致至今未解决我的诉求，在此请青岛市相关监管部门落实严查。,2020-03-21,2020-03-31
49,平度市南村镇洪兰东村村民王坤石违法租用场地出租无牌无证大挂车、油罐车。出租无牌无证大挂车、半挂车，个人私自违法经营油罐车出租运输，违法改装油罐车，个人私自违法经营三无大挂车，半挂车出租，运输，平度市南村镇洪兰东村村民王坤石无牌无照经营油罐车出租，无牌无证经营大挂车出租，,2020-03-22,2020-03-31
50,"公司原注册认缴期已到,仍不能完成认缴,想更改,延长,各股东的认缴期,能否办理,怎么办,",2020-03-27,2020-03-31
51,2019年9月份以后，新注册的消防设施检测维保技术服务公司，省应急厅消防局不再颁发资质证书，根据应急消2019-214文件，有营业执照后，做出承诺后即可正常营业，但是青岛住建局消防验收，申报时必须提供消防设施检测单位的资质证书，我想问下，像我单位这种新办单位，没有资质证书该怎么办？,2020-03-29,2020-03-31
52,企业为了能开具车辆道路运输发票，保留了《道路运输许可证》，而保留《道路运输许可证》，必须要有4.5吨以上、有营运证的车辆；其实企业根本不需要那么大吨位的车辆，徒增企业经营成本。我想问一下，按照现行法律规定，领取、开具道路运输发票，需要什么手续？真的须有《道路运输许可证》吗？,2020-03-17,2020-03-31
53,本人车辆2019年在平安投保车险，于2019年6月出险，现场查勘定损变速箱维修不须更换，另有其他配件更换维修等，车辆在平安定点合作维修点维修完毕后，2019年年底变速箱出现渗漏以及车辆行驶过程中的异响，经联系平安定点合作维修点，反馈油封故障；由于疫情影响，在2020年3月2日重新二次维修之后，在2020年3月19日发现变速箱又出现变速箱油严重渗漏，经联系平安定点合作维修点，仍告知我油封故障，无其它问题。????鉴于平安保险在车辆出险理赔维修之后，仍反复出现变速箱油渗漏，且渗漏情况不断加重，平安合作维修点负责人态度消极推脱，在车辆维修中，对消费者的人身安全极不负责，我提出以下3点合理诉求，请银保监会予以协调处理：1、鉴于变速箱油反复维修仍出现渗漏且变速箱油渗漏情况严重，我要求在正规4S点更换全新变速箱；2、鉴于此次维修事故，我要求对我19年出险后维修更换的配件清单项在4S点全部更换为合格的原厂件（如为副厂件或者规格非原厂件）3、补偿近两次维修事故造成我的误工费、日常交通费、以及车辆由此维修事故造成的贬值等损失。,2020-03-22,2020-03-31
54,长城快带快带，频繁断网，热线接不通，网上一反映问题，就视而不见，玩消失……请问哪个部门是主管部门，有没有有效监管，请公开下联系方式，以及派驻该主管部门纪检组的监督电话。谢谢。如果可以请主管部门能够在百忙之余调查处置下，联系我下，谢谢。,2020-03-21,2020-03-31
55,尊敬的领导：       目前国内疫情仍没有结束，这几天也在增多确诊病例。但是各个菜市场和超市都已经完全开放，也没有严格控制进出，也不严格测体温了。我们所在小区的菜市场直接把通往小区的大门也放开了。一旦出现情况就很难去防控。个人建议对小区，市场，商场和超市人员密集区还是要严格防控起来。等疫情结束再放开。谢谢。,2020-03-29,2020-03-30
56,尊敬的领导：       目前国内疫情仍没有结束，这几天也在增多确诊病例。但是各个菜市场和超市都已经完全开放，也没有严格控制进出，也不严格测体温了。我们所在小区的菜市场直接把通往小区的大门也放开了。一旦出现情况就很难去防控。个人建议对小区，市场，商场和超市人员密集区还是要严格防控起来。等疫情结束再放开。谢谢。,2020-03-29,2020-03-30
57,2020年1月18日从本地一个商场买了32寸海信电视 3月25日质量出现问题 然后打4006111111海信售后 工作人员回复最终结果维修费他们出一半  我出一半  我不服 明明就是质量问题  再打售后还是这句话 我让他们给出鉴定报告 他们不给出  去哪说理去？ 这不是欺骗老百姓吗？,2020-03-28,2020-03-30
58,2020年1月18日从本地一个商场买了32寸海信电视 3月25日质量出现问题 然后打4006111111海信售后 工作人员回复最终结果维修费他们出一半  我出一半  我不服 明明就是质量问题  再打售后还是这句话 我让他们给出鉴定报告 他们不给出  去哪说理去？ 这不是欺骗老百姓吗？,2020-03-28,2020-03-30
59,如题：如果饭店涉及违法行为，政府能否依法取消该饭店的营业资质？能否吊销该饭店的营业执照？具体的执行单位和执行部门是哪儿？简单点说：谁有权利吊销饭店的营业执照？或者哪个政府部门（请具体到级别和部门）负责吊销违法饭店的运营资质？谢谢,2020-03-28,2020-03-30
60,"我们企业是2016前成立的需要贵局给开通用户,企业信息,青岛裕田科技有限公司,已发送至贵局邮箱,一直没有收到回复,比较着急,希望贵局尽快给处理一下",2020-03-26,2020-03-30
序号,诉求,诉求时间,回复时间
61,您好！    我购买了一款号称能对湿疹起作用的产品，叫做青叶水，但是并没有什么用处。到他的网站上查询，发现是一家做消毒液的公司。我现在举报这家公司“陕西青叶生物科技有限公司”违规经营，虚假宣传。,2020-03-27,2020-03-30
62,蓝色是预约选择邮政的，粉色是预约选择顺丰的。两个质量也差太多了，看着粉的像假口罩一样，薄且有臭味，没有制造商标识。而且男生戴个粉色口罩，太不好意思出门了。主要问题是质量差太大了！预约的邮政的蓝色口罩，无异味，厚实，有制造商标志，质量看着就好。预约的顺丰的粉色口罩，薄薄的，臭臭的，跟之前买的飘安蓝色假口罩质量差不多，担心质量不达标，防护不安全。,2020-03-29,2020-03-30
63,正规网约车的日子真不好过，我们响应政府号召，办理了正规合法的网约车手续，但是由于滴滴平台利用自身的市场占有率继续给没有网络预约出租车证和营运证的不法司机派单，导致合法正规网约车司机无单可做，收入急剧下降，无法支撑高昂的费用。并且波及到了正规的巡游出租车。这种情况已经持续了好几年了，从官方媒体等渠道得知政府一直在治理，可是没有任何成效，现在滴滴平台竟然赤裸裸的说单证sij,2020-03-19,2020-03-30
64,疫情期间餐饮开店每桌坐三四个人！,2020-03-18,2020-03-30
65,疫情期间，市政府协调生产厂家、药店和快递公司，通过网上预约形式，为老百姓初步解决了口罩购买的难题。建议继续开展口罩预约，但要加大每次预约数量，从目前的每次5只，增长到20—50只，预约期限以半月或一月为宜。建议理由：网上预约，减少聚集，利于疫情防控；政府协调，网点发放，利于质量保障；快递送货，减少奔波，利于年老体弱。,2020-03-30,2020-03-30
66,我今天刚收到顺丰快递送来的口罩，打开异味很大，请问这是怎么回事？之前我从邮政快递预定的口罩收到时没有异味，请问可不可以退货。,2020-03-27,2020-03-30
67,在旅划算公众号下单购买了一份嗨吃家酸辣粉，收到得货物外包装是嗨吃家包装，里面的实际货物却是抹茶皇后牌子,2020-03-27,2020-03-27
68,之前受疫情影响集市封闭，现在很多地方农村集市都放开了，像莱州地区的农村集市半月前就放开了，平度市祝沟大集什么时间能放开，我们就以常年赶集卖衣服为生计，家里也有孩子父母要养活，每年都要定期交一年的摊位费，我们的损失谁来承担？,2020-03-27,2020-03-27
69,明药堂的官商情节，这次疫情期间在口罩这巨大利润下，总能一次次的巧妙躲过各个部门的专享走马观花的检查，而且没有一次综合性检查。其每次检查前针对性的做布局。难道就不值得政府部门反思吗？难道明药堂就是你们看的这么合格吗？还是有什么猫腻！明药堂的口罩，湿巾，酒精棉球，酒精棉片一类，二类各种产品，从材料到生产到成品混乱不堪，但是到了检查前各种专项游击应对检查！比如（前后紧关，各个房间上锁，各种藏，开启各种关系，补齐各种材料）就这样的公司各种认证几乎还都能过。真是匪夷所思！,2020-03-23,2020-03-27
70,市长同志：    我们通过青岛政务网微信公众号购买口罩，有邮政和顺丰两家快递进行配送，邮政配送用EMS快递信封包装口罩进行配送，相对来讲看起来干净一些。而顺丰却是用黑色的塑料袋进行外包装，干起来很脏，市民购买口罩已经支付了配送费，希望顺丰快递能多为广大市民用点心，也像邮政那样用干净的EMS信封包装并进行配送。毕竟口罩关系着广大市民的身体健康。望市长同志能督促政府有关部门监督，落实这些关系民生的问题。,2020-03-27,2020-03-27
71,政务网申购的口罩邮政配送，同一个厂家生产的，外观相差太大，一个很精致，一个粗制乱造而且还有异味，我感觉是假口罩。,2020-03-26,2020-03-27
72,"请问  原来的个体执照已经注销了,但青岛 电子APP是用原来的统一代码注册的,想重新注册  怎么更改",2020-03-26,2020-03-27
73,天猫商城店铺：卓炫旗舰店，有一款晾衣架，在店铺中该商品的标题是：手摇晾衣架 升降双杆式阳台手摇挂衣架室内晒三杆被子凉衣架家用，商品链接：https://detail.tmall.com/item.htm?spm=a230r.1.14.308.4c9c6691I6DR2c&id=596696438555&ns=1&abbucket=5&sku_properties=134942334:3226348。在该商品的介绍页面中称该产品有专利，但页面并未见专利证书和专利号，故而举报商家，请商家提供专利证明。店铺注册名字为：青岛威鼎电子商务有限公司，地址：青岛市即墨区通济街道办事处八里庄一村南楼区39号。,2020-03-09,2020-03-27
74,"食品检测机构,下设实验室,主要从事食品的化验检测,属于,三十七,研究和试验,-107专业实验室,需要提供环评报告表吗,还是环评备案即可,",2020-03-25,2020-03-27
75,"您好,我想咨询一下第二类医疗器械经营备案的具体办理流程,通过政务网确认此备案可线上化操作,麻烦问一下具体在哪个线上平台进行申报,申报材料中的《第二类医疗器械经营备案表》应从何处获得,纸质版材料是否需要装订成册并每一页加盖企业公章,纸质版材料的寄件信息如何,谢谢",2020-03-26,2020-03-27
