序号,诉求,诉求时间,回复时间
30,你好 城阳区流亭街道天一金色海湾小区南门现在防疫检查 简直就是在糊弄 体温枪都不好弄 证件也不检查，如果是这样的话 希望把西门和东门全面放开 东西南三个门自由出入，恢复到过年之前的状态。这种糊弄人的检查 街道社区的面子工程 不要也罢 希望全面放开东门和西门。现在小区南门乱停车很严重 交警也不管，投诉多次了，一点效果没有，电子抓拍就是摆设，只有一个门 导致上下班高峰期堵车严重，建议交警尽快启用抓拍系统。其次就是南门一到下午17点之后 两侧全是摆摊的小商贩，给拥堵的道路更加拥堵，城管呢？？？,2020-03-31,2020-04-07
序号,诉求,诉求时间,回复时间
31,李沧公安分局警务督察大队周民警涉嫌包庇被投诉人刘晓晖、王治国，要求李沧公安分局更换举报受理人。另安排他人受理本人对刘晓晖、王治国、周民警等人的举报。因之前反映的类似问题未按群众要求公开答复，且答复内容不属实，因此再次写信反映。2019年4月17日，青岛市李沧区王埠景苑小区，发生了一起案值百余元的财物损失案。年过六旬的小区居民曲先生夫妇被怀疑是涉案嫌疑人，6月23日上午10时许，虎山路派出所副所长刘晓晖、民警王治国率领约十名民、辅警，出动两辆警车和一辆公务用车来直奔曲先生家。其中，王治国和五名民、辅警闯进了居民曲先生家中，要传唤曲先生夫妇。最后强行将曲先生夫妇从家中抬走。刘晓晖在调查这起案值百余元的财物损毁案件，出动这么大的阵势，动用这么多警力，明显事先进行了充分准备。刘晓晖、王治国等人在传唤曲先生及其家属的时候，距离案发已经过去两个多月，明显不适用口头传唤，而应该持传唤证传唤。结果，刘晓晖、王治国等人却没有任何传唤手续。面对群众取证的手机镜头，王治国在现场已经承认没带传唤手续。但李沧公安分局警务督察大队民警却答复称，通过查看录像，出警“规范”。从本人多次提交的拍摄视频截图看，王治国出警时根本没有佩戴执法记录仪，可见李沧公安分局警务督察大队查的所谓录像根本不是王治国承认未带传唤手续时的录像。因为受理此投诉的部门存在包庇涉诉民警的恶劣行为。要求转青岛市公安局警务督察支队受理，转李沧公安分局纪委受理并介入调查，对相关人员应进行严厉处罚。,2020-03-30,2020-04-07
32,李沧公安分局警务督察大队周民警涉嫌包庇被投诉人刘晓晖、王治国，要求李沧公安分局更换举报受理人。另安排他人受理本人对刘晓晖、王治国、周民警等人的举报。因之前反映的类似问题未按群众要求公开答复，且答复内容不属实，因此再次写信反映。2019年6月23日，虎山路派出所民警王治国，跟随副所长刘晓晖和其他约十名民、辅警，出动两辆警车和一辆公务用车，在没有取得传唤手续的情况下，闯入王埠景苑小区居民曲先生家中，已经年过六旬的曲先生和老伴最终被王治国等人从家中抬出，并一路抬到警车上，这一暴行被多位小区居民亲眼目睹。在此过程中，王治国一直没有佩戴执法记录仪，被举报人拍下，现提供现场所拍王治国的视频截图为证。王治国违反公安部关于印发《公安机关现场执法视音频记录工作规定》的通知，并造成恶劣后果。要求转青岛市公安局纪委受理，转青岛市公安局警务督察支队受理。请青岛市公安局纪委、警务督察支队调查王治国的违纪违法行为，并尽快作出处理。,2020-03-30,2020-04-07
33,要求明确告知办理此封信件的民警姓名、职务等信息。李沧公安分局警务督察大队周姓民警涉嫌包庇被投诉人刘晓晖、王治国，要求李沧公安分局更换举报受理人。另安排他人受理本人对刘晓晖、王治国、周民警等人的举报。因之前反映的类似问题未按群众要求公开答复，且答复内容不属实。李沧公安分局警务督察大队周姓民警不查看群众所拍录像，以偏概全，因此继续写信举报。虎山路派出所副所长刘晓晖被举报抢夺群众取证手机，试图毁灭证据。李沧公安分局警务督察大队回复说，通过查看录像，民警出警规范、合法。从举报人拍摄的手机视频和截图照片来看，抢手机时，刘晓晖和旁边的辅警根本没有佩戴执法记录仪。可见李沧公安分局警务督察大队查的所谓录像根本不是刘晓晖抢手机时的录像。举报人已多次提交刘晓晖抢手机时的视频截图，要求李沧公安分局警务督察大队，主动索取群众拍摄的手机视频资料进行调查。然而，李沧公安分局警务督察大队民警一直不予理会，明显在包庇刘晓晖。请转青岛市公安局纪委处理。转李沧公安分局纪委处理。转青岛市公安局警务督察支队受理。,2020-03-31,2020-04-07
34,李沧公安分局警务督察大队周民警涉嫌包庇被投诉人刘晓晖、王治国，要求李沧公安分局更换举报受理人。另安排他人受理本人对刘晓晖、王治国、周民警等人的举报。因之前反映的类似问题未按群众要求公开答复，且答非所问。因此再次写信反映。李沧公安分局警务督察大队周民警选择性失忆了。虎山路派出所治安副所长刘晓晖存在多起违纪违法行为，青岛市公安局李沧分局警务督察大队已经落实了报复上访人王先生等一部分违纪违法行为，然而并没有处理刘晓晖。督促李沧公安分局尽快公开对刘晓晖的处理结果，不要让王先生来回奔波，并抓紧落实刘晓晖其他违纪违法行为。如果仍然没有处理，我们会一直追问下去。,2020-03-30,2020-04-07
35,要求明确告知办理此封信件的民警姓名、职务等信息。李沧公安分局警务督察大队周姓民警涉嫌包庇被投诉人刘晓晖、王治国，要求李沧公安分局更换举报受理人。另安排他人受理本人对刘晓晖、王治国、周民警等人的举报。2019年12月1日，王先生在青岛政务网“市长信箱”投诉，青岛市公安局李沧分局虎山路派出所副所长刘晓晖，为了达到报复上访人的目的，勾结犯罪嫌疑人实施多次犯罪行为，并且帮助犯罪嫌疑人销毁监控证据。希望公安督察部门给一个处理刘晓晖的结果。但是，李沧公安分局警务督察大队完全回避了王先生的诉求，没有提及如何处理刘晓晖。12月6日，李沧公安分局警务督察大队答复，“李沧分局警务督察大队领导于2019年12月6日10时在分局信访接待室就其投诉事项与投诉人进行了沟通。”这一次的沟通显然没有令王先生满意。12月9日，王先生再次“发声”，要求“从严从快处理虎山路派出所治安副所长刘晓晖和相关辅警。从严处理对方违法嫌疑人多次恶劣捏造事实的违法行为。对刘晓晖违法违纪性质恶劣，不处理不足以平民愤。”与上次投诉稍显不同的是，王先生对李沧公安分局警务督察大队领导的工作方式表示了“赞许与许可”。但王先生依旧要求李沧公安分局警务督察大队领导，尽快给他和家人一个合理的答复。12月17日，李沧公安分局警务督察大队给与的公开答复，仍然只谈沟通过程，不谈对涉事民警的处理结果。王先生对该答复的结果是否满意目前还不得而知，但李沧公安分局警务督察大队“护犊子”的心情却是“溢于言表”。我国的社会体制决定了，各级行政机关的权利都来源于人民，一切工作围绕“为人民服务”展开，接受人民群众的监督。刘晓晖屡次滥用公权，给辖区居民带来了较为严重的生命财产安全损失，犯下的罪责可谓不小。因滥用公权而被问责，并不涉及刘晓晖的个人隐私。公安机关督察部门理应依法履行职责，如实公开答复刘晓晖的处理结果。对刘晓晖的处理结果不要“遮遮掩掩”，也有助于打消人民群众对公安系统内部“官官相护”传闻的疑虑。王先生投诉刘晓晖的时间也不算短，直到督察领导出面，事情才有所转机，难免让人浮想联翩。此外，借助处理刘晓晖的契机，也有助于李沧警队重新整肃“警风警纪”，重温警队条例，让公安干警敬畏手中的权利，摆正自己的位置，坦然面对人民群众的监督。,2020-04-01,2020-04-07
36,万科城多伦多街区周边的宁乡路和蚌埠路两边是禁止停车的，现在白天晚上都停满车，特别是宁乡路那么窄的路两边都停车，严重影响通行，希望有关部门管理一下,2020-03-31,2020-04-07
37,宝宝出生给起个名字，我想给她改个字，去当地派出所第一次说只要带齐证件随时来改，但是只能改一次，我说好，前几天我去改当地派出所要我拿出正当理由，我说小宝宝这么点你们这些理由我们不可能，你们以前也不是这样说的，我就想问问，改名字这么麻烦吗？别的地方也没这样，只要带齐证件就给改，为什么普东就不可以?我就想把兮改成溪难道不可以吗？,2020-03-30,2020-04-07
38,小区禁止外出,2020-03-28,2020-04-07
39,你好，台柳路（从蚌埠路到怀远路）万科老年公寓到联通这一段，私家车违规占道，很多车都停到人行横道上了，逼得很多老人孩子改走机动车道，咱执法单位可否加大执法力度，或启用在保尔馨都车站的摄像抓拍探头，不要让老人和孩子在走机动车道了,2020-04-01,2020-04-07
40,尊敬的公安部门：2020年3月30日看快手APP，刷到直播视频（快手账号：jackyqiujin），发现鲁B27TG8黑色卡迪拉克越野车主占道及遮挡号牌直播（请看附件照片），该行为已构成违法，违反《机动车驾驶证申领和使用规定》规定，请贵部门予以查处。,2020-03-30,2020-04-07
41,尊敬的领导，我想问合法取得了驾照，期间因出车祸左腿瘸了，左眼睛瞎了，这种情况没有医院开具的健康证明还能能继续合法开车吗？如果这种情况属合法开车，请提供中华人民共和国公安部的文件号；如果属于违法开车，为什么我多次向公安部举报韩超瘸腿瞎眼行动不便驾驶车辆，公安部都回复可以开车？不明白这是什么世道，瘸腿瞎眼都能合法上路开车，属于马路杀手，这算是明目张胆的杀人，如此损害人民群众利益，人民公安的权利是人民给的，就是如此为人民服务的吗？,2020-03-28,2020-04-07
42,政府刚帮老百姓修好的人行道，直接就停上几十辆车。严重影响行人行走，并且人行道上开车有严重安全隐患。交警也不来管。希望市长邮箱帮忙解决这一问题。让相关交警中队每天定期过来巡查几次。这政府给老百姓修的人行道，成了个人的私家停车场。,2020-03-30,2020-04-07
43,公安部要求交警疫情期间柔性执法，晚上停车没有阻碍交通还要贴罚单？不是规定辅警没有执法权吗？为啥下班了还出来贴罚单？（区信箱让我提交市长信箱）,2020-03-27,2020-04-07
44,崂山对插队男子的处理结果显然难以平民愤，连个视频道歉也没有，是谁允许外籍男子插队的，公然辱华竟然写道歉信就完事吗？建议市公安局介入，严惩相关人员，给人民一个满意交代，超国民待遇该结束了。,2020-04-03,2020-04-07
45,今日网上报道;4月1日，在崂山某社区卫生服务中心排队检测核酸时，几名外国人强行插队，在遭到正常排队的市民谴责后，一名外国人将一名居民手中的单据扔在地上，并叫嚣道：“中国人出去”。此事引起整个社会的广泛关注，非常关心此事的处理结果。我们看到当地卫生部门和当事外国人均有道歉，但是让我们大吃一惊的是，此老外的签名的含义与“下跪的辫子奴”十分一致，请青岛市政府彻查此事，给中国人民一个交代。https://tieba.baidu.com/p/6593508531,2020-04-03,2020-04-07
序号,诉求,诉求时间,回复时间
46,请问为啥对那插队的三位外国人不能进行拘留，他们好像触犯辱骂他人喝妨碍社会秩序罪了吧，可以进行形势拘留吧，为何感觉现在大家一点骨气都没有了，我一个高中生，天天学习想着好好报效祖国，不会来为你们这没骨气的人接过历史的使命，开放了却丧失了血性，我还有最后一个问题，如果当时我在现场，不服气和他吵了两句并同时打起来，你是不是只罚我？而以给个面子为由放了他，哼,2020-04-03,2020-04-07
47,李沧区文昌路的大枣园与十梅庵公园之间的路段，这条路段一年到头的行人数量都很少，不像别的商业街人来人往的环卫工闲不住，所以这个路段的环卫工天天在那玩手机，甚至早退。这几天，负责十梅庵公园路段的女环卫工（就是这个女环卫工素质低下，早退，附近居民投诉严重）在家隔离，结果事实证明，把附近的另外两个环卫工合并过来打扫是绰绰有余的，并且这两个环卫工即使这几天合并过来，这两个环卫工也闲的照样可以玩手机，闲聊天。这就事实证明，现在在家隔离的那个女环卫工，确实是富余人员，这个路段完全可以减少一个人，况且这个女环卫工的投诉也很多。,2020-03-30,2020-04-07
48,早高峰期间，怀远路车辆右拐哈尔滨路时，大多不减速，不避让直行车辆，基本每个工作日都会在这边造成拥堵，建议在怀远路与哈尔滨路路口设置右拐红绿灯。,2020-04-07,2020-04-07
49,哈尔滨路福州路方向，华仁桥上桥口，每天早上车辆压导流线强行变道非常情况严重，经常能看到有因为强行变道发生的刮擦事故，建议在此设置交通违法摄像头。,2020-04-07,2020-04-07
50,青岛市崂山区丽达南门马路以前有停车线的不知怎么有给去掉了，这边路宽，车流量也不是很大周边上班的多，画上停车线多好，大大解决停车难的问题。希望政府能够采纳意见。谢谢,2020-04-07,2020-04-07
51,我们是福临万家一期的居民，小区南面是青山路，近期有很多拉土石方的大货车从黑龙江路从南往北拐入青山路，严重扰民！黑龙江路和青山路口有明显的的大货禁行标志等，反映多次，李沧交警大队李沙中队相关人员电话回复说青山路允许大货通行！请问是标志设置错误还是相关人员根本没有实地查看？对老百姓的诉求推诿扯皮！青山路和金液泉路设置的信号灯也都没用？这是浪费国家的资源，也是严重的形式主义，官僚主义！要求解决大货扰民问题和追究交警相关工作人员的相关责任！,2020-03-29,2020-04-07
52,空话套话不说了，那三个外国人怎么处理，你们别不出声。,2020-04-01,2020-04-07
53,人才产权房怎么办理,2020-03-26,2020-04-07
