序号,诉求,诉求时间,回复时间
11,坚决抗议青岛反动政府出卖民族利益，对帝国列强的卑躬屈膝！,2020-04-02,2020-04-02
12,尊敬的政府领导：我是湖岛街道滨海社区蓝泰海乐府2-2-101的居民，本人自己经营公司，公司所在地城阳区流亭街道苇山社区，因城阳区政府为了减轻小微企业疫情期间企业生存困难，对小微企业有部分补贴，其中对符合条件的员工及与报销百分之五十路费，及隔离期间补贴每天80元，我是购房后迁入青岛户口，籍贯江西丰城，年三十晚上回江西老家和年迈的父母一起过年，正月初三晚上返回青岛居家隔离，爱人籍贯辽宁本溪，正月初四返回青岛居家隔离，期间有社区工作人员给我打过电话，小区物业环卫保安都可以证明我在小区，今天下午三点左右去社区开居家隔离证明，社区态度坚决不给开证明，说我不符合开具证明条件，但流亭街道补助隔离期间费用必须要有证明，然后找物业，物业也不给开，政府为了减轻企业生存困境，作为小区所在的社区，物业为何连这样的证明也不开，怕担责任？从正月初三到现在已经过去两个多月，来回相互推诿，社区作为最基层的一级组织，防疫防控期间确实很幸苦，但对于今天下午这事，从接待态度到答复，我非常不满意，一进门大部分人在玩手机，我没有拍照，可以调取他们的监控查看，如果不相信，我每天随时可以去拍照他们的工作情况，其二说我以前去过社区说话态度不好，从滨海社区搬入海乐府小区，我一共进过社区两次，一次是建垃圾站的事，一次是去向他们要防疫防控宣传海报，我是一名退伍军人，2000年开公司至今，解决社会就业，上交税收，最起码为青岛建设做了不少贡献，而社区负责人向上级领导也就是湖岛街道领导请示也不开这样的证明，我就想不通，作为社区能为我们居民做什么？企业现在生存这么困难，一两千元对我我们来说都可以解决很多问题，为什么现在找政府办事这么难？不开具证明的依据又什么？社区解决不了，物业解决不了，只有求助政务网，帮忙协调解决，企业和个人能解决的事绝对不会给政府添麻烦，同时希望转正一下基层社区的办事作风，多为老百姓办点事实，少玩会手机，一个退伍老兵，一个有着近三十年党龄的老党员对政府的一点建议！让老百姓看到一个阳光为民办事的政府，而不是向今天一位社区工作人员还是负责人口口声声说的那样，我是公职人员，公职人员的工资是我们辛苦的纳税人所上交的，最后恳请政府帮忙协调一下谁能给我开具居家隔离证明？真诚的感谢?? 鄢明辉2020-3-27日夜,2020-03-28,2020-04-02
13,"黄岛区的名称实在太乱了，举例说下 黄岛区 黄岛 西海岸 开发区 老黄岛 胶南 等 一个行政区弄了5,6个名字。看看青岛其他行政区，人家都是一个名字，首先要改的就是这个名字太乱，很多人都认为黄岛是独立的市 而且不属于青岛的，要么你能独立成市也行，要么就把名字好好整理整理，统一成一个名字，政府相关部门是不是有责任？",2020-03-26,2020-04-02
14,我想问问领导们，为什么城镇户口的退伍兵就分配工作，农村户口的就不分配，这要是上战场，也是城镇户口的先上？这个政策很不合理吧,2020-03-23,2020-04-01
15,今年的精神文明奖复退军人有没有？,2020-03-31,2020-04-01
序号,诉求,诉求时间,回复时间
16,"市长您好,我是两个孩子的母亲,老大12岁了是脑瘫不会走路不会说话,老二两岁半,我老公开一个小理发店,因为疫情两个月没有收入了,以前给老大看病欠了很多钱,贷款,现在每个月都要还,没钱还,我想把房子做二押,我找贷款中介给的利息都高不说,他们还要收最少3个点10万块钱就是3000,3000都够我们一家好几个月的生活费了，我给城阳区政府留言说让我找市银保监局,可是政府部门没有这个,我就想你们能不能帮我们一家找个银行把我们房子做二押,让我们省点钱,我们实在是没有办法..感谢",2020-03-18,2020-04-01
17,西海岸新区胶南市泊里镇集体迁坟墓，政府在做决定的时候能否考虑下民意是怎样的？做一下充分调查，尊重下民意，我们是个人民当家做主的国家，在大多数人民的观念里还是有入土为安这一说的，这不是迷信，是中华传统文化的一部分，大多数村民还是希望不要迁坟，现在集体迁到那个地方，只是给他们小小的一个骨灰盒，摆在那里，大多数人心中都不好受，难道我们城市文明发展到连这些逝者的一方坟头都容不下？连他们这点地方我们都要占据？ 别忘记他们也是这个世界的一部分，一方小小的坟头既证明他们来过，也能给后人缅怀他们提供一个地方，能更好的教会这些后人生命的意义,2020-03-30,2020-04-01
18,疫情期间养老全面实行封院管理，禁止家属探视，我们都理解并支持。现在疫情已逐渐解除，各行各业也已复工，养老院还是不让家属探视是否太过于残忍，养老院最多一周给拍一张老人的照片或者视频，可以是根本就不是老人的真实状态，家属很不放心，为了顾全大局我们忍了，老人已经九十岁了，全失能，已经两个多月没见到亲人，你们能体会他们和我们的心情吗？百善孝为先是中华民族的传统美德，但不是建立在老人和家人的痛苦之上的，老人不是犯人，是弱势群体，我们家属有探视权，恳请民政部门能拿出一个切实可行的方案，真正的为民办事,2020-03-26,2020-04-01
19,被青岛淘云集app 骗了，希望可以得到帮助，那是我几熬出来的钱啊求求好心人帮助,2020-03-19,2020-04-01
20,胶东第十二中学搬迁的位置在哪？具体说明,2020-03-31,2020-03-31
21,我父亲王振邦生前是北海舰队军训处副处长，中共党员，山东陵县人，抗日战争参加八路军，战争年代多次负伤立功，1972年8月27日因病在青岛的海军401医院去逝，舰队和市政府根据我父亲生前为中国革命所做的突出贡献追为革命烈士。这次疫情网上追悼时发现有4处错误，让我们亲人遗憾！一是政治可面貌不祥，一位抗日战争参加革命的革命烈士还不是中共党员吗？二是藉贯不是山东凌而是山东陵县，三是去逝日期不是1972年8月2日而是1972年8月27日，四是安葬地不是九公陵而是青岛市烈士陵园，还有牺牲地是青岛海军401医院。最后希望你们工作认真点尽快更正。,2020-03-27,2020-03-31
22,习主席好！从你执政，首先是反腐败，治理环境，精准扶贫，尤其关心癌症病人不让国人因病治贫！我是2016年62岁得白血病，至今快四年了，每月退休金不够吃药的，根本在饥寒交迫中挣扎！度日如年！四年青岛市人民政府没给我提供一分钱帮助！国家规定白血病患者自费应该所在单位在报销70%我所在单位青岛市民政局至今一分不给报销我投诉到市长信箱根本无人查办！所以习主席说的不让一个国民因病治贫在青岛是句空话！青岛官员根本对你的指示置若罔闻！强烈恳请给65以上患白血病老人一条活路！现在在青岛健康退休人，和患白血病老人同样一个月190元能对吗？再说慢粒白血病患者只报销一种药，吃了毒性特别大头疼的要死，脸肿的变形，就要自己再寻医问药一个月就要3000_5000因此强烈恳请青岛市人民政府给老年白血病患者一条活路如下:一，65岁以上患白血病每年不住院患者一，社保卡每月补贴，2000元二，退休金每月补贴，2000元,2020-03-28,2020-03-30
23,"我父亲于2019年10月14日入院,经开颅手术,化疗,放疗,基因检测,免疫治疗,到2020年3月29日,5个多月时间,医疗费用报销后,自费花费11万3千余元,父亲离异独身,作为独生子我一直在医院,家里照顾,家里失去收入来源已经有半年时间,我父亲是否可以申请独生,子女医疗报销或者大病资金救助,贫困家庭,困难家庭申请,医疗费用可以2次报销,,怎么申请每个月的救助金,可以申请多少,我需要准备哪些材料,",2020-03-29,2020-03-30
24,习主席好！从你执政，首先是反腐败，治理环境，精准扶贫，尤其关心癌症病人不让国人因病治贫！我是2016年62岁得白血病，至今快四年了，每月退休金不够吃药的，根本在饥寒交迫中挣扎！度日如年！四年青岛市人民政府没给我提供一分钱帮助！国家规定白血病患者自费应该所在单位在报销70%我所在单位青岛市民政局至今一分不给报销我投诉到市长信箱根本无人查办！所以习主席说的不让一个国民因病治贫在青岛是句空话！青岛官员根本对你的指示置若罔闻！强烈恳请给65以上患白血病老人一条活路！现在在青岛健康退休人，和患白血病老人同样一个月190元能对吗？再说慢粒白血病患者只报销一种药，吃了毒性特别大头疼的要死，脸肿的变形，就要自己再寻医问药一个月就要3000_5000因此强烈恳请青岛市人民政府给老年白血病患者一条活路如下:一，65岁以上患白血病每年不住院患者一，社保卡每月补贴，2000元二，退休金每月补贴，2000元,2020-03-28,2020-03-30
25,你好，我想问一下我家老人是2019年一月二日去世的，到现在殡葬费还没有发下来是什么原因,2020-03-30,2020-03-30
26,铁山路的小区都粉刷了，灵山湾的小区也粉刷了，为什么就单单只有樱珠苑小区没有粉刷？要么都不粉刷，公平公正，单单落下樱珠苑小区为什么,2020-03-22,2020-03-30
27,我户籍在三亚，是青岛的公务员，请问能享受青岛居民的医保待遇吗？,2020-03-27,2020-03-30
28,"市南区针对市南区户籍人员在市南区创业孵化器2020年新注册公司的房租补贴有什么优惠政策,如何认定和办理,",2020-03-27,2020-03-27
29,铁山路的小区都粉刷了，灵山湾的小区也粉刷了，为什么就单单只有樱珠苑小区没有粉刷？要么都不粉刷，公平公正，单单落下樱珠苑小区为什么,2020-03-22,2020-03-27
30,山东省即墨区田横镇丰城北雄崖所220号韩超2016年-2019年2月违规吃低保，期间为儿子韩明敏买楼房，韩明敏在公路局上班，韩超借用其姐姐韩彩萍名义购买低速货车，车牌号鲁UZ0532，不符合救助条件，请民政局核查并追回之前违规领取的低保金,2020-03-20,2020-03-27
序号,诉求,诉求时间,回复时间
31,你好，如同标题看看有人管不？谢谢还要有礼节，要重复不断的求关注再次谢了，另外登州路街道办回复反馈别老是——信口雌黄了，干实事人们真心感激的。,2020-03-19,2020-03-27
32,立交桥下好多流浪人,2020-03-19,2020-03-27
33,3月12曰晚上19点45分，我家里母亲因为身体不好心脏病，我在网上给母亲订了送货到家的日用品，居委会借题发挥，以防疫零距离为借口阻挡送货人员把货送到母亲家中，非让我母亲自己搬上去，并且态度恶劣，辱骂群众，影响即坏，希望有关部门予人玫瑰督办，谢谢，此投诉市政府己挂单。,2020-03-17,2020-03-27
34,谢谢曹主任，谢谢各位网友，再见！,2020-03-26,2020-03-26
35,退役军人如何报考公务员？有没有优惠和加分政策？,2020-03-26,2020-03-26
36,我是湖北黄冈人，已在家隔离2个月，身体状况健康。但是咨询社区人员还需自费隔离14天。其他省份都已开始陆续互认湖北健康绿码，青岛政府为什么不考虑放宽政策，可以实施居家隔离呢,2020-03-25,2020-03-26
37,现在很多家庭都是独生子女，父母家里有钱，都是富二代，现在很多家庭有钱的父母给孩子安排稳定的工作，目的就是别让孩子惹事、但是现实生活中、还是有些富二代家庭的孩子在企业中惹事生非、不安分、到处挑拨离间、挑拨关系、不以赚钱为目的、拿着所谓成就感、获得感混日子，这种情况在社会中非常危险，孩子出事全是父母娇生惯养的，中国教育真的应该改变了，孩子18了就应该有自食其力，生活独立，资金独立了，这个应该学学国外18岁以后孩子应该独立生存，而不是还是依靠父母安逸、稳定的生活环境，现在的年轻人没有一点危机感！,2020-03-25,2020-03-25
38,技能补贴茶艺师 评茶员 健康管理师一直未审批发放,2020-03-23,2020-03-25
39,疫情现在还没完全结束，也不大敢出门，但我们想开一个农药店，向哪里申报啊，能不能给个电话啥的问问？,2020-03-25,2020-03-25
40,咨询：黄岛区（胶南市）视力评残应该去哪？具体应该怎么办,2020-03-20,2020-03-25
41,精神分裂症住院好了   精神分裂症鉴定需要多钱  怎么鉴定,2020-03-10,2020-03-24
42,2019年12月已申请的困难人员补贴，什么时候能到账,2020-03-23,2020-03-24
43,请问，有没有老年人免费治疗白内障的医院或者优惠政策,2020-03-22,2020-03-24
44,"尊敬的领导：您好！希望领导对我工作期间发生事情 明察秋毫 换我本人一个公道！致谢！   事情发生在2013年上半年，在2012年参加市南区计生专干公开招聘考试，成绩合格被录取，被分配原红岛路社区，从事计生专干工作，因为郝萍萍一直跟随我扰乱我正常工作。后来被调到珠海路街道东海中路社区从事计生专干工作，自来到珠海路街道东海中路社区一天8小时不停的工作，开始计生工作非常多，市南区卫计局抓的很紧，没时间聊天说话，除了工作还是工作，计生档案一一查找、落实真实的信息登录计生档案，如：区域育龄妇女、 流动人口，妊娠分娩补助 网络房屋住宅登记等等 以上工作基本由我一个人完成，东海中路张波欺骗我4年，张波在担任社区主任期间......行为淫秽与街道武装部主任不干正事，两个人天天早晨8点左右不开灯相互在东海花园一楼社区主任办公室摸，有一次早晨被我撞上，张波编造理由是：卫计局停止我的工作？？？我觉得张波女人没有揭发她，加上市南区一位领导把我调动工作，内心非常感激，忍下这口气，事后为退休金之事？我越想自己愿望，为了查清楚此事，开始调查我事情、包括郝萍萍近几年干坏事一一被我查实，郝萍萍自从被八大关街道撤职后，暗中挑拨红岛路帮到家和居民闹事等、外号郝大彪子贩卖避孕工具；张波在工作期间:我亲眼目睹张波和计生主任王永红给我编造“居民考核不合格”并且上面还有2人签字，害的我待岗4年，期间社区对我本人诽谤造谣无人不消，65个社区计生专干没有人不知道的，搞得我在众人面前抬不起头来，更严重的是社区主任张波和计生主任王永恒模仿居民签字？？？挪用计生协管员和税务普查资金吃喝玩乐，例如：每周二次下饭馆、中午顿猪蹄、到市立医院饭堂购买熏鱼、包子、平日崂山绿茶、水果不断、早晨10点左右街道主任过去嗑瓜子喝茶下午5点下班。张波属于社会渣滓，不懂管理，期间每次街道要求写社区工作情况？街道主任帮忙搞定。此事反映多次至今没有解决，现在我要追究责任多年前“居民考核不合格”材料不翼而飞了 追究4年+我退休4年 到现在街道没有处理，张波和王永红利用职务之便，合伙分赃贪污社区物资财务购买食品：如：崂山绿茶 新鲜水果 每周二次下饭馆等等 冒充计生协管员签字每人50元/月和 税务普查签字每户20元等 ,期间2个人相互监督谁不敢分钱，平日用来吃喝玩乐，请查明实情 还我公道，补上待岗期间工资，从2013年上半年到现在。",2020-03-15,2020-03-24
45,尊敬的政府领导       你好，我有亲戚在青岛西海岸泊里镇草桥村，现在听说青岛西海岸泊里镇草桥村及周边的一些村庄要在清明节前后进行墓地搬迁，现在疫情期间是不是不应该组织这样大规模的人员参与事件，还望政府有关部门考虑一下是不是等疫情结束之后再进行该事件。,2020-03-16,2020-03-24
序号,诉求,诉求时间,回复时间
46,老人2019年12月27日去世，那交的2020年的医疗保险可以退吗？,2020-03-10,2020-03-23
47,领导您好，根据疫情指挥部安排，为减少人员聚集，消除疫情传播扩散风险，保护广大群众生命安全和身体健康，根据《国务院应对新型冠状病毒感染肺炎疫情联防联控机制关于进一步做好民政服务机构疫情防控工作的通知》要求，现将清明节期间祭扫有关事项通告如下：一、今年清明节期间，全市各殡仪馆、公墓、骨灰堂等殡葬服务场所，继续暂停群众现场祭扫活动，暂停组织集体性骨灰撒海、生态安葬等活动。二、禁止在道路、广场、居民楼院及山头、绿地等公共场所焚烧抛撒各种丧葬祭奠物品。三、倡导通过家庭追思、网上祭扫等方式寄托哀思、缅怀故人。市民可登录青岛市殡葬事业服务中心网站、青岛殡葬96444微信公众号进行网上祭扫。为了您和他人的健康安全，敬请广大市民理解、支持和配合!青岛市新冠肺炎疫情防控指挥部办公室2020年3月17日请问今年清明之前泊里镇是否继续搬迁坟墓？如果搬迁是否与疫情指挥部的精神相违背,2020-03-18,2020-03-23
48,我是2010年最后一批城镇户口带安置卡的退役士兵.我觉得青岛市退役军人事务局应该把国家的政策落到实处.201个退役士兵管理岗位有多少？安置率有新闻媒体宣传的那么高？安置工作公开性都存在纰漏.（在选工作时不公开工作内容）选岗时承诺的没有司机保安保洁服务员.都做到了吗？硬性安置的事情都解决不了以免对将来的安置工作造成影响.怎么样能让退役军人不流血流汗又流泪？,2020-03-18,2020-03-23
49,请问2019年的精神文明奖什么时候发放，烟台市一月份就发放了。,2020-03-21,2020-03-23
50,市长您好：即墨通济八里庄书记主任孙公华拥有多个小区的物业管理，在此次疫情中，只管自己的公司，村庄不用心防疫，大年初一感情用事带头在村中拜年（可以调村监控）。政府当官的便服调查中发现该村的疫情检查站可以随便出入，拿着群众性命当儿戏。2月13日-15日动员村民捐款，高调宣传用于村庄封闭时村民的日常生活，至今没有落实，并且拒绝村民张文庆想为村民买菜买肉等爱心行动。3月5号左右村低保户迟金德长时间在家没人管，成天喝凉水吃饼干，村民爬墙进家发现时已骨瘦如柴，接近昏迷，不能活动，送达医院时诊断为肿瘤，请政府帮帮低保这个群体.,2020-03-13,2020-03-23
51,我是2010年最后一批城镇户口带安置卡的退役士兵.我觉得青岛市退役军人事务局应该把国家的政策落到实处.201个退役士兵管理岗位有多少？安置率有新闻媒体宣传的那么高？安置工作公开性都存在纰漏.（在选工作时不公开工作内容）选岗时承诺的没有司机保安保洁服务员.都做到了吗？硬性安置的事情都解决不了以免对将来的安置工作造成影响.怎么样能让退役军人不流血流汗又流泪？,2020-03-18,2020-03-23
52,我们自主择业军转干部的退役金什么时候能按3号文件规定落实？,2020-03-20,2020-03-23
53,怀疑老人被骗，和他说不通 。我父亲60多岁了，在网络上听别人说买原始股能赚钱，买了9000多块钱的了，还让我从单位借5000块钱给他，我和他说可能是受骗了，他不听，还要和我断绝父子关系，让我滚出去租房住，心塞啊，请帮帮我！,2020-03-13,2020-03-22
54,习主席一再强调要保护绿水青山，可是海信积米湾项目还在开山毁林，这么好的山地规划山体公园多好啊。,2020-03-14,2020-03-20
55,请问第62例确诊病例的公婆等密切接触者均未发病？我们宁可要真相也不敢冒生命危险出门啊,2020-03-16,2020-03-20
56,我妈妈是糖尿病，江苏人，在青岛经常买药，这个能否优惠，或者享受医保政策呢？,2020-03-19,2020-03-20
57,请问在没有工作步入第三个月的导游员，文旅局有什么政策吗？我们该如何应对？哪怕一句问候也好啊，为什么不能替导游员找一些舒缓压力的办法？文旅局是为老百姓，更是为旅游从业者服务的！现在衣食父母出现问题了，能不能有点起码得关怀？让我们感受到文旅局的大家庭还没有把我们忘记？是不是应该给导游员一部分补助，让我们度过难关呢？就这样看着导游员们没办法养家糊口很好吗？,2020-03-18,2020-03-20
58,    很多市民在祭奠故人的时候习惯在路边烧纸，不仅影响环境，还有火灾隐患，建议禁止。马上要过清明节了，正好现在防疫有执勤的，建议可以一起宣传，一起监督。对于出售烧纸的单位，也应进行管控，从源头控制。,2020-03-20,2020-03-20
59,你好领导，现在的青岛即墨小李村布匹市场大家都知道太不上档次了，消防安全隐患大，里面乱搭乱建严重！跟即墨小商品城有一拼！建议政府重新选址高标准建设新的布匹市场和服装辅料市场！这样可以带动即墨服装产业向更好层次迈进！,2020-03-11,2020-03-20
60,请问:西海岸新区东区福利彩票管理站的地址在哪里？联系电话是什么号码？,2020-03-15,2020-03-19
