序号,诉求,诉求时间,回复时间
66,胶南渔政部门对禁渔期偷捕船只不闻不问。视而不见，现在更是不管了直接。渔政两条船只直接拉上船厂坞道了。大量渔船出海犹如开捕一样。场面壮观！,2017-06-10,2017-06-19
67,胶南渔政不作为，从禁渔期开始胶南的渔船正常出海捕鱼，犹如开捕一样。胶南渔政睁一眼闭一眼，放纵渔船出海。更为可气的是渔船从其身边经过出海都不管，甚至是这边渔船出海渔政船起锚到偏远地方站锚，为出海渔船放行。更甚者是在海上碰到渔船也放之纵之拉网捕鱼。,2017-06-02,2017-06-19
68,局长怎么对胶州湾沿岸海霸问题，和使用地笼问题怎么不回答？,2017-06-15,2017-06-15
69,弱弱问一下啊，啥是海绵城市,2017-05-19,2017-05-19
70,有出海租船的，不是禁止的吗在栈桥。,2017-05-17,2017-05-17
71,http://weixin.qingdao.gov.cn/wxZF/ZfxxPage/NTViewSubmitData.aspx?guid=%7B2d03768b-d2a8-4746-9df2-8ca87f4c1c90%7D&userID=oAPs7s2SCSCXg0LMCpd3jNRF8TyQ&appId=wxd3e1e40dd9f3ac29&from=groupmessage,2017-05-03,2017-05-04
72,    积米崖渔港夜间偷偷填海。    位置：积米崖渔港码头，原冷藏厂给渔船输送冰块塔楼南50米处。    工具：运输船载有土石方、挖掘机，在船上直接填海。    此作业不知是否经过贵局批准，望能派人查看。,2017-04-19,2017-04-28
73,您好胶州湾北岸参池、虾池最近有规划吗？,2017-03-15,2017-03-15
74,领导您好，在红岛新盖的奥体中心周边的池塘（养虾养海参的池子），是否有征用的可能？谢谢。。,2017-03-10,2017-03-10
75,尊敬的渔政领导，最近黄岛万达维多利亚利亚湾海边出现海霸，不让游客和业主赶海，说是已经承包这片海域，下去赶海的市民被海霸无辜谩骂和驱赶，如果不听就要打人，如果没有记错的话，青岛市有明文规定，沿海不准养殖和承包，只供市民游玩和赶海，现在那里明目张胆的在海边竖了一块牌子禁止赶海和钓鱼，希望相关领导还我们青岛市民一个干净的环境，别让这些海霸坏了青岛文明城市的形象,2017-02-12,2017-02-13
