序号,诉求,诉求时间,回复时间
19,青岛市高新区华贯路669号世茂公园美地小区世茂天成物业未经过半业主同意，违法违规出租地上车位进行敛财，所有车位违法违规安装地锁。现造成小区消防通道堵塞，严重影响所有业主的生命财产安全！针对以上违法违规行为，各相关部门互相推诿踢皮球，都说跟自己的职能部门管不了，让找其它相关部门解决。至今世茂天成物业还是没有丁点改善的意思，疯狂的继续安装地锁，对进入小区的车辆不加控制。疫情期间因为此事造成多次群体聚集抗议事件，影响极为恶劣！物业还发公告表示其侵权行为得到办事处认可？公告如图,2020-03-28,2020-04-07
20,青岛市高新区华贯路669号世茂公园美地小区世茂天成物业未经过半业主同意，违法违规出租地上车位进行敛财，所有车位违法违规安装地锁。现造成小区消防通道堵塞，严重影响所有业主的生命财产安全！针对以上违法违规行为，各相关部门互相推诿踢皮球，都说跟自己的职能部门管不了，让找其它相关部门解决。至今世茂天成物业还是没有丁点改善的意思，疯狂的继续安装地锁，对进入小区的车辆不加控制。疫情期间因为此事造成多次群体聚集抗议事件，影响极为恶劣！物业还发公告表示其侵权行为得到办事处认可？公告如图,2020-03-28,2020-04-07
21,青岛市高新区华贯路669号世茂公园美地小区世茂天成物业未经过半业主同意，违法违规出租地上车位进行敛财，所有车位违法违规安装地锁。现造成小区消防通道堵塞，严重影响所有业主的生命财产安全！针对以上违法违规行为，各相关部门互相推诿踢皮球，都说跟自己的职能部门管不了，让找其它相关部门解决。至今世茂天成物业还是没有丁点改善的意思，疯狂的继续安装地锁，对进入小区的车辆不加控制。疫情期间因为此事造成多次群体聚集抗议事件，影响极为恶劣！物业还发公告表示其侵权行为得到办事处认可？公告如图,2020-03-28,2020-04-07
22,青岛市高新区华贯路669号世茂公园美地小区世茂天成物业未经过半业主同意，违法违规出租地上车位进行敛财，所有车位违法违规安装地锁。现造成小区消防通道堵塞，严重影响所有业主的生命财产安全！针对以上违法违规行为，各相关部门互相推诿踢皮球，都说跟自己的职能部门管不了，让找其它相关部门解决。至今世茂天成物业还是没有丁点改善的意思，疯狂的继续安装地锁，对进入小区的车辆不加控制。疫情期间因为此事造成多次群体聚集抗议事件，影响极为恶劣！物业还发公告表示其侵权行为得到办事处认可？公告如图,2020-03-28,2020-04-07
23,目前房屋老化严重，多年供水也足，何时能改造该片区,2020-04-04,2020-04-07
24,有关部门李沧区君峰路31号楼33号楼，一共40户居民，一个小区出入口，出入口有门有锁，没钥匙是进不去的。现在的情况是上午3个志愿者，下午3个志愿者，晚上2个或3个志愿者。建议取消志愿者看门，有门还设志愿者是不是有点浪费钱？？时间长了，志愿者多，岗位补贴也不是个小数。再说也有门有锁。,2020-03-29,2020-04-07
25,你好 读者投诉反映 青岛市市北区鞍山四路兴富小区今天贴出通知 说最近要收取停车费 有车的居民们很担心 自己交费后 进入小区没地方停车 担心费用白交了 从今年进出小区自动识别系统启用后 居民们就多次反映给相关部门 说小区内有常年不开的车 还有一些之前外来蹭车位车辆 还有私占车位的现象 相关部门敷衍答复后 实际一直没解决 居民们现在就是希望我们相关部门 能先把小区内所有车辆摸排 清理一遍 不是本小区的清理出去 长期不开的让他们缴费停放 在统计还能停放多少车辆 在收取费用 保证交费的居民能进小区有地方停放 不要交冤枉钱 希望相关部门尽快 调查 处理一下 并把处理结果答复一下 谢谢（加急件，希望相关部门尽快给予落实）,2020-03-31,2020-04-07
26,"个人信息需保密，个人信息需保密。不需要解决部门对个人电话进行回访调查。兴富小区修建于1980年，原本是开放式小区，共10个楼座，政府进行了旧城改造后，起名兴富小区，拆除了楼下原有的自家煤池，改善了居民的生活空间，并且加装了对讲式楼道门。小区无任何物业管理。2020年疫情期间，为了方便管理，把原有的5个进出通道封闭，只留有一个门进行出入，这一点我们是支持政府这种做法。目前我的投诉有如下2点：1，政府给居民加装了对讲门是为了确保居民的安全，这一点我们很给政府鼓掌，给居民的人身安全做了保障。但,,,自从装后，门从来还有好用过，并且对讲也从来没通过，多年来一直和社区投诉这个问题，社区一直在说给修修，但至今没有任何动作。2，新冠疫情期间，3月16日南宁路社区通知，疫情期间不断有外来车辆进入小区，为了保障居民的健康生活，避免感染，将小区启动智能出入管理，这一点我们很为社区为居民着想鼓掌，真是为居民的安危着想，社区做的服务真好。但，，，3月30日，出台了小区停车收费的通知，并且通知内没有任何署名，通知内标明小区成立了停车场，标有收费标准。具体停车场是谁建立的？哪年建立的？收费归谁所有？均未体现。居民楼下公共活动场地由什么理由成立停车场？国家规定成立停车场的标准是什么？目前我想请问，这种操作是否符合国家规定？目前，国家正处在疫情关键时期，政府为了鼓励复工复产，提高经济效益，对居民企业实行了多项减免政策。在这种紧要关头，社区进行这些乱收费，打着疫情的噱头来营私舞弊行为是社区负责人个人行为还是政府支持行为？请市府领导人明察。给居民一个合理的解释和说法。附件是两个通知的具体内容，请查阅。",2020-04-01,2020-04-07
27,开发商迟迟不缴纳供暖配套费。已拖欠4年之久。已严重侵害我小区居民切身利益。别的小区已供暖，我小区却遥遥无期。同一开发商同镇二期小区配套费竣工之前已缴纳，我一期却拖欠不给缴纳的问题是什么性质？还望领导部门给予我们老百姓主持公道！谢谢！,2020-03-31,2020-04-07
28,国家搞垃圾分类的垃圾桶究竟是谁出钱？即墨通济新区西元庄社区的物业青岛即墨市惠中物业管理有限公司居然要我们大产权小区业主出，到底是通济新区管委会出还是业主出？,2020-03-28,2020-04-07
29,即墨区西元庄三期惠中物业服务不达标，乱收费，业主投诉不断。政府主管部门都是干什么得，都给老百姓解决什么问题了？即墨区物业办的领导也去12345看看投诉量。,2020-03-30,2020-04-07
30,需要维修李沧区 夏庄路67号院 3号楼二单元602 2019年保温层工程 屋顶起包漏雨多处起包 属于保温层工程项目 漏雨 需要维修,2020-03-29,2020-04-07
序号,诉求,诉求时间,回复时间
31,青岛即墨市惠中物业管理有限公司水费物业费捆绑，以不收大产权小区业主自来水费，私拆业主自来水表，停业主自来水，划业主车，软暴力等威胁方式达到其私涨物业费的目的，要求解除其代收自来水费协议，业主自己通过网络直接缴纳至自来水公司，要求处理该物业管理，不能干就撤出，即墨通济新区管委会对该物业百般维护，请政府展开调查,2020-03-29,2020-04-07
32,青岛市高新区华贯路669号世茂公园美地小区世茂天成物业未经过半业主同意，违法违规出租地上车位进行敛财，所有车位违法违规安装地锁。现造成小区消防通道堵塞，严重影响所有业主的生命财产安全！针对以上违法违规行为，各相关部门互相推诿踢皮球，都说跟自己的职能部门管不了，让找其它相关部门解决。至今世茂天成物业还是没有丁点改善的意思，疯狂的继续安装地锁，对进入小区的车辆不加控制。疫情期间因为此事造成多次群体聚集抗议事件，影响极为恶劣！物业还发公告表示其侵权行为得到办事处认可？公告如图,2020-03-28,2020-04-07
33,1.御园五号G3号楼原规划是全体业主的公共配套用房，未经业主许可，开发商私自租售给启智星幼儿园。并私自加盖出一层，实属违建，加盖这一屋存在严重安全隐患没有消防，抗地震设计随时可能倒塌与出现火灾，光付板易起火。2.御园五号G3号楼原规划的正大门，被幼儿园私自以铁栅栏进行围堵，改为幼儿园活动场地，这实属违建。3.幼儿园私自更改了原建筑的楼体颜色，外立面设计，实属不合法。以上三点，长江路综合执法中队来现场已确认是违建，但拒不履行拆除，长江路街道办事处也不支持拆除工作！望政府职能部门予以处理！4.幼儿园办学不合法。（除存在违建外，还有，一楼是小区配电箱，幼儿园就设在二层之上，完全不符合办学条件）第三点，整栋大楼没产权，出租房没有租赁资格，这些情况谁来调研过？不知道教体局如何审批通过的，望相关部门予以及时调查尽快处理。综上：长江路综合执法中队，长江路街道办事处及西海岸教体局，作为政府职能部门，没有起到职能作用！诉求：拆除违建，通开大门，G3号楼归还给全体业主！053112345政府给作主,2020-03-30,2020-04-07
34,御园五号小区交房三年至今没有配套用房，请问合理吗？我们该找哪些部门？或者说哪些部门不踢皮球？,2020-03-23,2020-04-07
35,市长您好:      我要投诉即墨锦绣华隆物业。北门不开放，地下停车场不让走行人。如果说疫情期间特殊情况，还情有可原。可是开放的东门人来人往，四敞大开的，也不量体温，人人可以进，这是什么说法！！！希望有关部分可以管一管！物业本来是为业主服务的，自从有了这个物业，一直往业主内心“捅刀子”，天天想法怎么“治”业主，这到底是什么说法？,2020-03-27,2020-04-07
36,青岛政务市惠中物业管理有限公司水费物业费捆绑，以不收大产权小区业主自来水费，私拆业主自来水表，停业主自来水，划业主车，软暴力等威胁方式达到其私涨物业费的目的，要求解除其代收自来水费协议，业主自己通过网络直接缴纳至自来水公司，要求处理该物业管理，不能干就撤出,2020-03-28,2020-04-07
37,青岛市高新区华贯路669号世茂公园美地小区世茂天成物业未经过半业主同意，违法违规出租地上车位进行敛财，所有车位违法违规安装地锁。现造成小区消防通道堵塞，严重影响所有业主的生命财产安全！针对以上违法违规行为，各相关部门互相推诿踢皮球，都说跟自己的职能部门管不了，让找其它相关部门解决。至今世茂天成物业还是没有丁点改善的意思，疯狂的继续安装地锁，对进入小区的车辆不加控制。疫情期间因为此事造成多次群体聚集抗议事件，影响极为恶劣！高新区华贯路居委会也一直以人员不够为理由，拒绝牵头成立业主委员会。我投诉这些相关职能部门懒政，请政府部门给予解决，难道没有职能部门能管的了世茂天成物业的违法违规行为吗？！高新区就这么黑暗吗？！,2020-03-27,2020-04-07
38,市长同志：        您好！3月15日，我们给您写信反映了麦岛金岸小区供热问题。该问题持续四年了，百姓十分不满。我们深知，解决此问题有一定难度，但，我们还是希望您抽出时间了解实际情况，着手解决为肦！并热切希望得到您的回复。祝好！崂山区麦岛金岸小区业主委员会2020年3月28日,2020-03-28,2020-04-07
39, 居民们经常被停水，停水是物业公司管理小区的重要手段。 不同意涨物业费——停水，理由是停水促缴或者没有义务提供代收水费服务； 通知交水费——停水，理由是贴在广告堆里的缴费通知居民看不见； 疫情期家中无人——停水，理由是方便知道回来没，便于采取防疫措施； 通知交物业费——停水，理由是居民无视缴费通知。要求政府解除其代收自来水协议，我们业主自己通过网络直接缴纳至自来水公司，要求处理该物业公司,2020-03-28,2020-04-07
40,您好！    请问现在房屋租赁备案可以网上办理了吗？,2020-04-06,2020-04-07
41,海尔云街地下停车场外包，物业公司转包给三方公司，自主定价500元高额停车费，并没有以任何有效方式预先通知或告知业主.我想问问根据哪些依据，等规则可依来收取500元不合理高额停车费。恳请相关政府部门尽职作为，进驻调查，给海尔云姐百姓主持公道。现在全国打黑、惩恶、治乱，而云街停车场进出口出现多名社会闲散青年停留徘徊，给居住市民安全造成了安全隐患。现又疫情期间，希望政府有关部门进驻维护业主的安全。,2020-04-01,2020-04-07
42,我爱青岛，我有不满，海尔云街地下停车场外包，物业公司转包给三方公司，自主定价500元高额停车费，并没有以任何有效方式预先通知或告知业主.我想问问根据哪些依据，等规则可依来收取500元不合理高额停车费。恳请相关政府部门尽职作为，进驻调查，给海尔云姐百姓主持公道。现在全国打黑、惩恶、治乱，而云街停车场进出口出现多名社会闲散青年停留徘徊，给居住市民安全造成了安全隐患。现又疫情期间，希望政府有关部门进驻维护业主的安全。,2020-04-01,2020-04-07
43,什么时候能让快递 外卖小哥进来。 还有小区超级大 一期二期只开一个进出车的门  什么时候能多开一个。超级不方便 ,2020-04-03,2020-04-07
44,罗浮山路123号罗浮观海(银沙轩)项目交付时，开发商不出面不接待，把交房业务委托给物业公司办理。物业公司要求业主在没有查验房屋质量的情况下，先行交付物业费签订物业合同以及签收房屋，否则不配合业主验收房屋，态度极其蛮横，将交房与物业费以及物业合同还有装修保证金等，强行捆绑，欺人太甚！希望政府相关部门秉公执法，打击无良地产商，维持市场秩序,2020-03-28,2020-04-07
45,西卢家滩的房产证大约什么时候可以下，有五年了,2020-04-07,2020-04-07
序号,诉求,诉求时间,回复时间
46,举报开发区银鹰房地产违规占用市政公司绿化带安装收费岗亭，占用大量绿化带私设停车场进行收费。这个停车场我们已经向主管部门咨询过，没有取得相关批准手续，没有经过任何的相关部门批复建设。既然没有取得相关手续，那又是怎么出具的税务局发票？发票到底哪来的？是不是真的发票？既然是银鹰房地产违建的停车场，为什么发票是盖着昌通物业公司的章？偷税漏税吗？下面有发票照片 ,2020-03-28,2020-04-07
47,您好，高新区现在属于城阳了，为什么共有产权住房楼盘却没有高新区的，只是城阳区以及上马街道的楼盘适用。,2020-03-26,2020-04-07
48,本人在松树庄社区有一套房子，打算向外出租补贴家用，但是社区说疫情管控不允许出租，我想问问政府是否出台了明文规定不允许，务工人员在单位有健康证明，常住青岛的务工人员有现有小区的出入证，如有需要其他另外证明也可以去办理，可是社区依然不允许，我问问是否属于侵权，如果政府有规定作为市民理应积极配合。,2020-04-03,2020-04-07
49,2010年规划，13年安置房动工建设，16年1月开始分配，一并规划的8个村庄7个已入住楼房4年，只剩下我们竹岔岛一个村庄还没有搬迁。 为了工作，孩子上学，赡养老人等一系列问题，大多数村民都在岛外租房居住多年，高额的房租已承担不起！！！ 多次反应，街道给我们的回复都是敷衍了事，现在电话也不接了，咨询有关部门也是互相推诿，请问咱青岛的职能部门是形同虚设吗？？谁能切身考虑下我们老百姓的情况，拖了这么多年，已经盖好了楼房为什么不给我们分配，我们老百姓的利益谁来给我们维护，等了10年我们不想再等了，这个问题必须尽快给我们解决！！！,2020-04-01,2020-04-07
50,胶州市莱州路花园小区为什么还有平房在？是没有拆迁吗？会不会影响小区业主居住？什么时候解决这些问题？那些人会搬走吗？,2020-04-02,2020-04-07
51,市领导，大沽河管委会领导您好，我是新城玺樾云璟南区业主，现投诉新城玺樾开发商及物业不作为糊弄业主，糊弄政府，我们小区年前交付了，我最近来收房发现以下问题，请开发商及物业给予解释，1:我们云璟南区为何与云璟北区相差天地之别？我们南区房价如此之高，建设与北区相比我们就成了廉租房，北区进小区门都有欢迎回家指示牌，做的有气氛，我们南区光秃秃什么都没有，地面承诺的夜光跑道呢？北区地面都刷上了好看的油漆，我们南区光秃秃的沥青？2:小区承诺的地上地下双入户大堂及单元门呢？为何地下叠拼单元门没有，连个最基本的门禁也没有？3:小区监控不完善，云璟南区主要道路很多都没有摄像头，比如几个单元门口这一趟路连个监控都没有，安全如何保障？4:云璟北区地下车库干净利索，照明全开，亮堂，我们南区呢？就这样了？地下车库不用清洗了？就这么多灰了？地下车库照明也不开，黑了吧唧的，为何不能跟北区一样？车库何时清洗，照明何时打开请给予解答。5:南区入地下车库的雨搭钢化玻璃也没装就准备这样了吗？6:小区各项设施都不好用，物业都收费三个月了，这是开玩笑吗？小区楼宇对讲不好用，家里的直接不亮，小区电梯梯控也不好用，都是摆设吗？7:小区物业服务与物业费严重不符，有事找物业物业半天不来，这叫五星级服务？小区水景不开，晚上小区照明灯不全开，地下车库入单元照明是摆设吗？也不开启，让物业人员过来干点什么活都跟欠他们几百万一样，你们物业服务缩水，我们物业费是不是也要打折？不要说业主入住不多，我们物业费已经实打实交给你们了，我们住不住是我们的事，你们要把该开的水景都打开，晚上小区照明灯所有灯光都打开，你们服务不达标，下期物业费坚决拒交！8:物业同志，请你们规范一下你们员工的着装，员工穿的衣服跟小痞子似的，没有工装？物业对员工如何着装没要求吗？9:再问物业，小区垃圾桶多久才清理一次？垃圾桶天天不是满的就是找不到一个垃圾桶了、你这叫服务？真是第一次看见这种服务，还有保洁，看看你们保洁打扫的卫生，能认真点吗？别整天作秀拍照了，你把单元打扫干净了吗？玻璃擦了吗？自己好好看看，就这样服务以后一分钱物业费没有。10:新城悦物业还有点管理才能吗？管理人员达标吗？你们扪心自问你们物业费都收了服务达标了吗？五星级物业费啊，任何五星级小区物业所有员工见了业主必须主动问好，你们呢？我们欠你们的？另外别的刚交付小区比如半岛城邦，一交付物业就在做各种措施，小区树上挂满彩灯，大门口小区名称亮化，走到人家小区门口虽然半岛城邦也没人住，但物业做的小区确实漂亮，也很亮堂，反光新城玺樾，收着比人家高的物业费，就不用说彩灯了，小区灯都不想亮，真是天差地别，物业服务在打折，我们物业费也必须打折，每天时间相机记录物业不作为，后期物业费一份没有，法庭见！以上问题，请领导落实开发商及物业，逐条给予相关回复，不要笼统回复，发扬共产党人优良作风，谢谢，不要让我们业主失望，不要再给开发商打掩护了好吗？不要让我们一条一发政务网问，到那时还是要每条都回答。谢谢领导了！感谢！,2020-03-27,2020-04-07
52,1.御园五号G3号楼原规划是全体业主的公共配套用房，未经业主许可，开发商私自租售给启智星幼儿园。并私自加盖出一层，实属违建，加盖这一屋存在严重安全隐患没有消防，抗地震设计随时可能倒塌与出现火灾，光付板易起火。2.御园五号G3号楼原规划的正大门，被幼儿园私自以铁栅栏进行围堵，改为幼儿园活动场地，这实属违建。3.幼儿园私自更改了原建筑的楼体颜色，外立面设计，实属不合法。以上三点，长江路综合执法中队来现场已确认是违建，但拒不履行拆除，长江路街道办事处也不支持拆除工作！望政府职能部门予以处理！4.幼儿园办学不合法。（除存在违建外，还有，一楼是小区配电箱，幼儿园就设在二层之上，完全不符合办学条件）第三点，整栋大楼没产权，出租房没有租赁资格，这些情况谁来调研过？不知道教体局如何审批通过的，望相关部门予以及时调查尽快处理。综上：长江路综合执法中队，长江路街道办事处及西海岸教体局，作为政府职能部门，没有起到职能作用！诉求：拆除违建，通开大门，G3号楼归还给全体业主！,2020-03-30,2020-04-07
53,关于平度市开发区杨家庄村棚户区改造进展已经到了哪一步了？相关拆迁补偿政策及标准公布了吗？ ,2020-04-02,2020-04-07
54,省道219改建项目一期二期具体进展情况？时间节点？什么时间开始？,2020-04-07,2020-04-07
55,2010年规划，13年安置房动工建设，16年1月开始分配，一并规划的8个村庄7个已入住楼房4年，只剩下我们竹岔岛一个村庄还没有搬迁。 为了工作，孩子上学，赡养老人等一系列问题，大多数村民都在岛外租房居住多年，高额的房租已承担不起！！！ 多次反应，街道给我们的回复都是敷衍了事，现在电话也不接了，咨询有关部门也是互相推诿，请问咱青岛的职能部门是形同虚设吗？？谁能切身考虑下我们老百姓的情况，拖了这么多年，已经盖好了楼房为什么不给我们分配，我们老百姓的利益谁来给我们维护，等了10年我们不想再等了，这个问题必须尽快给我们解决！！！,2020-04-01,2020-04-07
56,灵山卫花好月圆小区把配电室挪到5号楼西侧，没有征求我们住户的意见，盖的时候问说是备用的，结果晚上声音刷刷的，根本睡不好觉，问领导怎么解决？问什么不挪到地下？,2020-03-29,2020-04-07
57,灵山卫花好月圆小区把配电室挪到5号楼西侧，没有征求我们住户的意见，盖的时候问说是备用的，结果晚上声音刷刷的，根本睡不好觉，问领导怎么解决？问什么不挪到地下？,2020-03-29,2020-04-07
58,尊敬的市领导，您好！我家住在李沧区湘潭路湾头馨苑。近期，我和我邻居、同学的停车位频频被外来车辆占用，找物业保安，保安说他们不管这事，让我们找物业，我们跟保安要物业电话，保安说不知道。我们每年按规定缴纳车位费，是给我们自己提供方便的，不是交钱添堵不解决问题，你保安一句不管、一句找物业不知道物业电话为由就打发了？如果不能胜任这个工作，你还不如引咎辞职吧！！！请市领导协调帮忙解决，谢谢！,2020-03-29,2020-04-07
59,昨天去李沧东李新苑看房子，小区门卫以“不知道在哪儿来的”为名不让进。现在大多数小区都可以登记了，很多地方租房，买房，面试都可以登记进入。想知道现在如何申请才能进入东李新苑小区看房子。实在是影响正常生活。,2020-03-30,2020-04-07
60,1、胶南灵山湾路锦绣华府物业未公示和未经业主同意违规擅自建设电动车充电桩--电动车充电桩不在交房范围内，属于物业私自建设。同时未公示和未经业主同意擅自建设。2、电动车充电桩安全问题和问责问题--未公示说明电动车安全隐患和出现问题后谁负责，未经业主同意私自建设。3、电动车充电桩选址不合理，严重影响锦绣华府25号楼业主出行。4、电动车营收归属问题--电动车充电桩用电哪里来的？营收归属？营收是否公示？5、电动车管理问题--后期电动车停放谁来负责管理？,2020-03-30,2020-04-07
序号,诉求,诉求时间,回复时间
61,我在2017年购买了一套华尔兹商铺，当时合同约定是每年返租，但到现在已经过去半年多了，返租款一直没有支付给我们商户手中，跟开发商联系一直说没钱，到了承诺的支付日期也不给，一直在拖延。希望政府部门能帮我们百姓协调协调，让开发商尽快支付我们的血汗钱，谢谢。,2020-03-26,2020-04-07
62,薛家泊子拆迁10余年，房产证一直没有办理完毕，办事处答复19年春节前后，现在已经2020年4月份，依旧没有下来，并且相关办理材料还未提交至不动产交易大厅（此前答复已经将办理产证所需材料递交至不动产交易大厅）。,2020-04-05,2020-04-07
63,青岛西海岸泊里镇三厂职工宿舍楼（北区）属危楼 政府 什么时候组织拆迁？,2020-04-01,2020-04-07
64,尊敬的领导你好  请问胶州朱大冰案件进行到哪里了时间过去四年了,2020-04-04,2020-04-07
65,尊敬的领导你好  请问胶州朱大冰案件进行到哪里了时间过去四年了,2020-04-04,2020-04-07
66,即墨通济新区西元庄一至八期商品房小区违建小平房至今未拆除，请政府前来破除,2020-04-03,2020-04-07
